# Category: Math Numbers

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"20","A father is 43 and his child is 13. In how many years will the father be exactly twice as old?","16","19","17","13","C. 17","hard","Age & Time Puzzles","Try the gap between them.","In 17 years: 60 is double 30.","published"
"21","When I was 4, my sister was half my age. Now I am 45. How old is my sister?","","","","","43","expert","Age & Time Puzzles","The age gap never changes.","The gap was 2 years, so she is 43 now.","published"
"22","A trip lasts 65 days. How many full weeks is that, and how many days are left over?","9 weeks and 2 days","10 weeks","9 weeks and 5 days","8 weeks and 9 days","A. 9 weeks and 2 days","easy","Age & Time Puzzles","Divide by seven.","65 divided by 7 is 9 weeks remainder 2.","published"
"23","Divide me by 3 and you get 7 with a remainder of 2. What am I?","26","22","21","23","D. 23","hard","Number Riddles","Multiply, then add the leftover.","3 x 7 + 2 = 23.","published"
"24","A film runs 2 hours and 20 minutes. How many minutes long is it in total?","120","140","142","2400","B. 140","easy","Age & Time Puzzles","Convert the hours first.","2 hours is 120 minutes, plus 20 = 140.","published"
"25","A farmyard has 3 chickens and 3 ducks. How many legs in total?","12","6","10","16","A. 12","easy","Counting Tricks","Both birds have two legs.","6 birds x 2 legs = 12.","published"
"26","I am a number: double me and add 7, and you land on 39. What am I?","","","","","16","expert","Number Riddles","Work backwards from the total.","Subtract 7 to get 32, then halve: 16.","published"
"27","It is exactly 6:00 on an analog clock. How many degrees between the hour and minute hands?","180","210","195","150","A. 180","hard","Age & Time Puzzles","Each minute, the minute hand moves 6 degrees.","The hands are 180 degrees apart at 6:00.","published"
"28","A farmyard has 2 chickens and 7 ducks. How many legs in total?","18","22","16","9","A. 18","easy","Counting Tricks","Both birds have two legs.","9 birds x 2 legs = 18.","published"
"29","Half of me is 26. What number am I?","52","104","26","54","A. 52","easy","Number Riddles","Double the clue.","Twice 26 is 52.","published"
"30","When I was 30, my sister was half my age. Now I am 58. How old is my sister?","","","","","43","expert","Age & Time Puzzles","The age gap never changes.","The gap was 15 years, so she is 43 now.","published"
"31","Half of me is 22. What number am I?","88","44","46","22","B. 44","easy","Number Riddles","Double the clue.","Twice 22 is 44.","published"
"32","A farmyard has 2 chickens and 3 ducks. How many legs in total?","10","14","8","5","A. 10","easy","Counting Tricks","Both birds have two legs.","5 birds x 2 legs = 10.","published"
"33","Half of me is 27. What number am I?","54","56","27","108","A. 54","easy","Number Riddles","Double the clue.","Twice 27 is 54.","published"
"34","It is exactly 6:30 on an analog clock. How many degrees between the hour and minute hands?","30","15","18","45","B. 15","hard","Age & Time Puzzles","Each minute, the minute hand moves 6 degrees.","The hands are 15 degrees apart at 6:30.","published"
"35","A printer prints one page every 2 seconds. How long to print 81 pages?","162 seconds","103","81 seconds","324 seconds","A. 162 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","81 x 2 = 162 seconds.","published"
"36","Divide me by 4 and you get 5 with a remainder of 2. What am I?","21","26","22","20","C. 22","hard","Number Riddles","Multiply, then add the leftover.","4 x 5 + 2 = 22.","published"
"37","You have 7 five-dollar bills and 4 one-dollar coins. How much money in total?","28","39","44","11","B. 39","easy","Counting Tricks","Multiply, then add.","7 x 5 + 4 = 39.","published"
"38","A trip lasts 20 days. How many full weeks is that, and how many days are left over?","2 weeks and 6 days","3 weeks","2 weeks and 1 days","1 weeks and 13 days","A. 2 weeks and 6 days","easy","Age & Time Puzzles","Divide by seven.","20 divided by 7 is 2 weeks remainder 6.","published"
"39","You have 3 five-dollar bills and 5 one-dollar coins. How much money in total?","8","20","25","15","B. 20","easy","Counting Tricks","Multiply, then add.","3 x 5 + 5 = 20.","published"
"40","A printer prints one page every 2 seconds. How long to print 40 pages?","80 seconds","40 seconds","160 seconds","103","A. 80 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","40 x 2 = 80 seconds.","published"
"41","A trip lasts 68 days. How many full weeks is that, and how many days are left over?","8 weeks and 12 days","9 weeks and 5 days","10 weeks","9 weeks and 2 days","B. 9 weeks and 5 days","easy","Age & Time Puzzles","Divide by seven.","68 divided by 7 is 9 weeks remainder 5.","published"
"42","Half of me is 19. What number am I?","38","76","19","40","A. 38","easy","Number Riddles","Double the clue.","Twice 19 is 38.","published"
"43","A film runs 5 hours and 25 minutes. How many minutes long is it in total?","300","325","7500","330","B. 325","easy","Age & Time Puzzles","Convert the hours first.","5 hours is 300 minutes, plus 25 = 325.","published"
"44","I am a three-digit number. My hundreds digit is 3, my tens digit is 0, and my ones digit is 7. My digits add up to what?","","","","","10","expert","Number Riddles","Just add the three digits.","3 + 0 + 7 = 10.","published"
"45","When I was 28, my sister was half my age. Now I am 46. How old is my sister?","","","","","32","expert","Age & Time Puzzles","The age gap never changes.","The gap was 14 years, so she is 32 now.","published"
"46","Half of me is 34. What number am I?","68","136","34","70","A. 68","easy","Number Riddles","Double the clue.","Twice 34 is 68.","published"
"47","A trip lasts 71 days. How many full weeks is that, and how many days are left over?","9 weeks and 8 days","10 weeks and 1 days","11 weeks","10 weeks and 6 days","B. 10 weeks and 1 days","easy","Age & Time Puzzles","Divide by seven.","71 divided by 7 is 10 weeks remainder 1.","published"
"48","7 friends each wave to every other friend exactly once. How many waves in total?","6","49","42","21","D. 21","hard","Counting Tricks","Each pair counts once, not twice.","7 friends form 21 unique pairs.","published"
"49","Divide me by 4 and you get 9 with a remainder of 1. What am I?","37","41","36","40","A. 37","hard","Number Riddles","Multiply, then add the leftover.","4 x 9 + 1 = 37.","published"
"50","You have 5 five-dollar bills and 9 one-dollar coins. How much money in total?","34","39","45","14","A. 34","easy","Counting Tricks","Multiply, then add.","5 x 5 + 9 = 34.","published"
"51","I am a three-digit number. My hundreds digit is 3, my tens digit is 3, and my ones digit is 1. My digits add up to what?","","","","","7","expert","Number Riddles","Just add the three digits.","3 + 3 + 1 = 7.","published"
"52","Solve my riddle, if you dare. My tens digit is double my ones digit, and our digits add up to 10. What number am I?","","","","","82","expert","Number Riddles","Work out the tens digit first.","Tens digit 8 is double the ones digit 2, and together they sum to 10.","published"
"53","You have 6 five-dollar bills and 4 one-dollar coins. How much money in total?","24","34","10","39","B. 34","easy","Counting Tricks","Multiply, then add.","6 x 5 + 4 = 34.","published"
"54","A father is 45 and his child is 18. In how many years will the father be exactly twice as old?","11","9","8","18","B. 9","hard","Age & Time Puzzles","Try the gap between them.","In 9 years: 54 is double 27.","published"
"55","You have 4 five-dollar bills and 5 one-dollar coins. How much money in total?","9","25","30","20","B. 25","easy","Counting Tricks","Multiply, then add.","4 x 5 + 5 = 25.","published"
"56","You have 9 five-dollar bills and 4 one-dollar coins. How much money in total?","36","49","13","54","B. 49","easy","Counting Tricks","Multiply, then add.","9 x 5 + 4 = 49.","published"
"57","A father is 35 and his child is 15. In how many years will the father be exactly twice as old?","4","15","5","7","C. 5","hard","Age & Time Puzzles","Try the gap between them.","In 5 years: 40 is double 20.","published"
"58","A printer prints one page every 2 seconds. How long to print 76 pages?","152 seconds","103","76 seconds","304 seconds","A. 152 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","76 x 2 = 152 seconds.","published"
"59","Divide me by 6 and you get 12 with a remainder of 4. What am I?","72","82","75","76","D. 76","hard","Number Riddles","Multiply, then add the leftover.","6 x 12 + 4 = 76.","published"
"60","Divide me by 3 and you get 9 with a remainder of 1. What am I?","28","31","27","42","A. 28","hard","Number Riddles","Multiply, then add the leftover.","3 x 9 + 1 = 28.","published"
"61","A straight fence is built from 5 sections, end to end in a line. How many fence posts hold it up?","10","6","4","5","B. 6","hard","Counting Tricks","A line needs a post at both ends.","5 sections in a line need 6 posts.","published"
"62","A father is 33 and his child is 13. In how many years will the father be exactly twice as old?","13","6","7","9","C. 7","hard","Age & Time Puzzles","Try the gap between them.","In 7 years: 40 is double 20.","published"
"63","A printer prints one page every 2 seconds. How long to print 43 pages?","43 seconds","86 seconds","172 seconds","103","B. 86 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","43 x 2 = 86 seconds.","published"
"64","A carpenter saws a wooden plank 4 times, straight across. How many pieces does he end up with?","","","","","5","expert","Counting Tricks","Each cut adds one piece.","4 cuts make 5 pieces.","published"
"65","A carpenter saws a wooden plank 2 times, straight across. How many pieces does he end up with?","3","4","6","2","A. 3","medium","Counting Tricks","Each cut adds one piece.","2 cuts make 3 pieces.","published"
"66","A father is 53 and his child is 20. In how many years will the father be exactly twice as old?","20","15","12","13","D. 13","hard","Age & Time Puzzles","Try the gap between them.","In 13 years: 66 is double 33.","published"
"67","I am a number: double me and add 7, and you land on 81. What am I?","44","37","41","33","B. 37","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 74, then halve: 37.","published"
"68","A straight fence is built from 3 sections, end to end in a line. How many fence posts hold it up?","4","2","6","3","A. 4","hard","Counting Tricks","A line needs a post at both ends.","3 sections in a line need 4 posts.","published"
"69","I am a three-digit number. My hundreds digit is 9, my tens digit is 7, and my ones digit is 6. My digits add up to what?","23","51","22","69","C. 22","medium","Number Riddles","Just add the three digits.","9 + 7 + 6 = 22.","published"
"70","Each of 8 guests eats exactly 3 slices. How many slices must the pizza order contain?","16","24","27","11","B. 24","easy","Counting Tricks","Multiply guests by slices each.","8 x 3 = 24 slices.","published"
"71","I am a number: double me and add 7, and you land on 83. What am I?","38","42","34","45","A. 38","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 76, then halve: 38.","published"
"72","A printer prints one page every 2 seconds. How long to print 57 pages?","103","114 seconds","228 seconds","57 seconds","B. 114 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","57 x 2 = 114 seconds.","published"
"73","A film runs 4 hours and 20 minutes. How many minutes long is it in total?","240","260","264","4800","B. 260","easy","Age & Time Puzzles","Convert the hours first.","4 hours is 240 minutes, plus 20 = 260.","published"
"74","A father is 29 and his child is 11. In how many years will the father be exactly twice as old?","11","7","9","6","B. 7","hard","Age & Time Puzzles","Try the gap between them.","In 7 years: 36 is double 18.","published"
"75","I am a number: double me and add 7, and you land on 45. What am I?","26","19","23","15","B. 19","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 38, then halve: 19.","published"
"76","You have 4 five-dollar bills and 6 one-dollar coins. How much money in total?","10","26","24","31","B. 26","easy","Counting Tricks","Multiply, then add.","4 x 5 + 6 = 26.","published"
"77","A straight fence is built from 6 sections, end to end in a line. How many fence posts hold it up?","5","6","7","12","C. 7","hard","Counting Tricks","A line needs a post at both ends.","6 sections in a line need 7 posts.","published"
"78","A trip lasts 58 days. How many full weeks is that, and how many days are left over?","8 weeks and 2 days","8 weeks and 5 days","7 weeks and 9 days","9 weeks","A. 8 weeks and 2 days","easy","Age & Time Puzzles","Divide by seven.","58 divided by 7 is 8 weeks remainder 2.","published"
"79","It is exactly 8:00 on an analog clock. How many degrees between the hour and minute hands?","150","90","135","120","D. 120","hard","Age & Time Puzzles","Each minute, the minute hand moves 6 degrees.","The hands are 120 degrees apart at 8:00.","published"
"80","I am a number: double me and add 7, and you land on 77. What am I?","39","42","35","31","C. 35","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 70, then halve: 35.","published"
"81","A film runs 4 hours and 40 minutes. How many minutes long is it in total?","240","280","284","9600","B. 280","easy","Age & Time Puzzles","Convert the hours first.","4 hours is 240 minutes, plus 40 = 280.","published"
"82","When I was 18, my sister was half my age. Now I am 59. How old is my sister?","50","9","29","41","A. 50","medium","Age & Time Puzzles","The age gap never changes.","The gap was 9 years, so she is 50 now.","published"
"83","Each of 3 guests eats exactly 3 slices. How many slices must the pizza order contain?","9","12","6","23","A. 9","easy","Counting Tricks","Multiply guests by slices each.","3 x 3 = 9 slices.","published"
"84","I am a three-digit number. My hundreds digit is 9, my tens digit is 2, and my ones digit is 5. My digits add up to what?","19","16","17","23","B. 16","medium","Number Riddles","Just add the three digits.","9 + 2 + 5 = 16.","published"
"85","I am a three-digit number. My hundreds digit is 7, my tens digit is 7, and my ones digit is 9. My digits add up to what?","24","58","23","70","C. 23","medium","Number Riddles","Just add the three digits.","7 + 7 + 9 = 23.","published"
"86","I am a three-digit number. My hundreds digit is 2, my tens digit is 3, and my ones digit is 7. My digits add up to what?","12","23","13","15","A. 12","medium","Number Riddles","Just add the three digits.","2 + 3 + 7 = 12.","published"
"87","When I was 6, my sister was half my age. Now I am 36. How old is my sister?","18","33","3","30","B. 33","medium","Age & Time Puzzles","The age gap never changes.","The gap was 3 years, so she is 33 now.","published"
"88","A father is 45 and his child is 15. In how many years will the father be exactly twice as old?","14","15","17","18","B. 15","hard","Age & Time Puzzles","Try the gap between them.","In 15 years: 60 is double 30.","published"
"89","I am a perfect square. Multiply my square root by itself and you get 64. What is my square root?","9","8","7","10","B. 8","easy","Number Riddles","Which number times itself gives 64?","8 times 8 equals 64.","published"
"90","You have 7 five-dollar bills and 9 one-dollar coins. How much money in total?","16","44","49","63","B. 44","easy","Counting Tricks","Multiply, then add.","7 x 5 + 9 = 44.","published"
"91","A film runs 2 hours and 25 minutes. How many minutes long is it in total?","120","145","3000","147","B. 145","easy","Age & Time Puzzles","Convert the hours first.","2 hours is 120 minutes, plus 25 = 145.","published"
"92","I am a perfect square. Multiply my square root by itself and you get 144. What is my square root?","12","13","11","14","A. 12","easy","Number Riddles","Which number times itself gives 144?","12 times 12 equals 144.","published"
"93","I am a number: double me and add 7, and you land on 47. What am I?","16","20","27","24","B. 20","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 40, then halve: 20.","published"
"94","Each of 5 guests eats exactly 3 slices. How many slices must the pizza order contain?","15","18","8","10","A. 15","easy","Counting Tricks","Multiply guests by slices each.","5 x 3 = 15 slices.","published"
"95","Half of me is 16. What number am I?","32","64","16","34","A. 32","easy","Number Riddles","Double the clue.","Twice 16 is 32.","published"
"96","You have 3 five-dollar bills and 4 one-dollar coins. How much money in total?","7","19","24","12","B. 19","easy","Counting Tricks","Multiply, then add.","3 x 5 + 4 = 19.","published"
"97","I am a perfect square. Multiply my square root by itself and you get 196. What is my square root?","13","14","16","15","B. 14","easy","Number Riddles","Which number times itself gives 196?","14 times 14 equals 196.","published"
"98","I am a three-digit number. My hundreds digit is 9, my tens digit is 4, and my ones digit is 7. My digits add up to what?","20","37","21","43","A. 20","medium","Number Riddles","Just add the three digits.","9 + 4 + 7 = 20.","published"
"99","Divide me by 6 and you get 8 with a remainder of 3. What am I?","57","51","50","48","B. 51","hard","Number Riddles","Multiply, then add the leftover.","6 x 8 + 3 = 51.","published"
"100","Divide me by 4 and you get 10 with a remainder of 1. What am I?","45","40","41","44","C. 41","hard","Number Riddles","Multiply, then add the leftover.","4 x 10 + 1 = 41.","published"
"101","Divide me by 3 and you get 12 with a remainder of 1. What am I?","40","51","36","37","D. 37","hard","Number Riddles","Multiply, then add the leftover.","3 x 12 + 1 = 37.","published"
"102","You have 8 five-dollar bills and 7 one-dollar coins. How much money in total?","15","47","56","52","B. 47","easy","Counting Tricks","Multiply, then add.","8 x 5 + 7 = 47.","published"
"103","A printer prints one page every 2 seconds. How long to print 49 pages?","98 seconds","49 seconds","196 seconds","103","A. 98 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","49 x 2 = 98 seconds.","published"
"104","Divide me by 5 and you get 11 with a remainder of 2. What am I?","57","62","55","56","A. 57","hard","Number Riddles","Multiply, then add the leftover.","5 x 11 + 2 = 57.","published"
"105","A film runs 3 hours and 10 minutes. How many minutes long is it in total?","190","193","1800","180","A. 190","easy","Age & Time Puzzles","Convert the hours first.","3 hours is 180 minutes, plus 10 = 190.","published"
"106","I am a three-digit number. My hundreds digit is 7, my tens digit is 4, and my ones digit is 2. My digits add up to what?","15","13","30","14","B. 13","medium","Number Riddles","Just add the three digits.","7 + 4 + 2 = 13.","published"
"107","A father is 48 and his child is 15. In how many years will the father be exactly twice as old?","15","17","18","20","C. 18","hard","Age & Time Puzzles","Try the gap between them.","In 18 years: 66 is double 33.","published"
"108","A carpenter saws a wooden plank 7 times, straight across. How many pieces does he end up with?","9","7","8","14","C. 8","medium","Counting Tricks","Each cut adds one piece.","7 cuts make 8 pieces.","published"
"109","A printer prints one page every 2 seconds. How long to print 87 pages?","174 seconds","348 seconds","87 seconds","103","A. 174 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","87 x 2 = 174 seconds.","published"
"110","Divide me by 4 and you get 9 with a remainder of 2. What am I?","42","37","38","36","C. 38","hard","Number Riddles","Multiply, then add the leftover.","4 x 9 + 2 = 38.","published"
"111","When I was 8, my sister was half my age. Now I am 48. How old is my sister?","44","24","40","4","A. 44","medium","Age & Time Puzzles","The age gap never changes.","The gap was 4 years, so she is 44 now.","published"
"112","Divide me by 3 and you get 4 with a remainder of 2. What am I?","17","13","12","14","D. 14","hard","Number Riddles","Multiply, then add the leftover.","3 x 4 + 2 = 14.","published"
"113","A trip lasts 39 days. How many full weeks is that, and how many days are left over?","6 weeks","5 weeks and 4 days","4 weeks and 11 days","5 weeks and 3 days","B. 5 weeks and 4 days","easy","Age & Time Puzzles","Divide by seven.","39 divided by 7 is 5 weeks remainder 4.","published"
"114","Solve my riddle, if you dare. My tens digit is double my ones digit, and our digits add up to 7. What number am I?","34","43","54","44","B. 43","easy","Number Riddles","Work out the tens digit first.","Tens digit 4 is double the ones digit 3, and together they sum to 7.","published"
"115","I am a three-digit number. My hundreds digit is 3, my tens digit is 7, and my ones digit is 5. My digits add up to what?","15","16","26","38","A. 15","medium","Number Riddles","Just add the three digits.","3 + 7 + 5 = 15.","published"
"116","A straight fence is built from 12 sections, end to end in a line. How many fence posts hold it up?","13","12","24","11","A. 13","hard","Counting Tricks","A line needs a post at both ends.","12 sections in a line need 13 posts.","published"
"117","9 friends each wave to every other friend exactly once. How many waves in total?","81","36","8","72","B. 36","hard","Counting Tricks","Each pair counts once, not twice.","9 friends form 36 unique pairs.","published"
"118","When I was 26, my sister was half my age. Now I am 52. How old is my sister?","26","39","42","13","B. 39","medium","Age & Time Puzzles","The age gap never changes.","The gap was 13 years, so she is 39 now.","published"
"119","A printer prints one page every 2 seconds. How long to print 67 pages?","103","134 seconds","268 seconds","67 seconds","B. 134 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","67 x 2 = 134 seconds.","published"
"120","I am a number: double me and add 7, and you land on 61. What am I?","27","31","23","34","A. 27","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 54, then halve: 27.","published"
"121","When I was 30, my sister was half my age. Now I am 52. How old is my sister?","15","37","26","22","B. 37","medium","Age & Time Puzzles","The age gap never changes.","The gap was 15 years, so she is 37 now.","published"
"122","You have 6 five-dollar bills and 9 one-dollar coins. How much money in total?","39","44","15","54","A. 39","easy","Counting Tricks","Multiply, then add.","6 x 5 + 9 = 39.","published"
"123","You have 6 five-dollar bills and 6 one-dollar coins. How much money in total?","41","36","12","39","B. 36","easy","Counting Tricks","Multiply, then add.","6 x 5 + 6 = 36.","published"
"124","Divide me by 4 and you get 12 with a remainder of 3. What am I?","50","48","51","55","C. 51","hard","Number Riddles","Multiply, then add the leftover.","4 x 12 + 3 = 51.","published"
"125","When I was 28, my sister was half my age. Now I am 59. How old is my sister?","14","31","45","29","C. 45","medium","Age & Time Puzzles","The age gap never changes.","The gap was 14 years, so she is 45 now.","published"
"126","It is exactly 4:00 on an analog clock. How many degrees between the hour and minute hands?","90","135","150","120","D. 120","hard","Age & Time Puzzles","Each minute, the minute hand moves 6 degrees.","The hands are 120 degrees apart at 4:00.","published"
"127","I am a three-digit number. My hundreds digit is 4, my tens digit is 4, and my ones digit is 9. My digits add up to what?","17","18","40","25","A. 17","medium","Number Riddles","Just add the three digits.","4 + 4 + 9 = 17.","published"
"128","A father is 51 and his child is 19. In how many years will the father be exactly twice as old?","13","19","12","15","A. 13","hard","Age & Time Puzzles","Try the gap between them.","In 13 years: 64 is double 32.","published"
"129","Half of me is 35. What number am I?","70","35","72","140","A. 70","easy","Number Riddles","Double the clue.","Twice 35 is 70.","published"
"130","A film runs 5 hours and 10 minutes. How many minutes long is it in total?","310","315","300","3000","A. 310","easy","Age & Time Puzzles","Convert the hours first.","5 hours is 300 minutes, plus 10 = 310.","published"
"131","A printer prints one page every 2 seconds. How long to print 54 pages?","108 seconds","54 seconds","216 seconds","103","A. 108 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","54 x 2 = 108 seconds.","published"
"132","3 friends each wave to every other friend exactly once. How many waves in total?","2","3","9","6","B. 3","hard","Counting Tricks","Each pair counts once, not twice.","3 friends form 3 unique pairs.","published"
"133","When I was 16, my sister was half my age. Now I am 66. How old is my sister?","50","58","33","8","B. 58","medium","Age & Time Puzzles","The age gap never changes.","The gap was 8 years, so she is 58 now.","published"
"134","When I was 12, my sister was half my age. Now I am 41. How old is my sister?","20","29","35","6","C. 35","medium","Age & Time Puzzles","The age gap never changes.","The gap was 6 years, so she is 35 now.","published"
"135","Divide me by 6 and you get 3 with a remainder of 2. What am I?","26","18","20","19","C. 20","hard","Number Riddles","Multiply, then add the leftover.","6 x 3 + 2 = 20.","published"
"136","Divide me by 4 and you get 7 with a remainder of 3. What am I?","30","35","28","31","D. 31","hard","Number Riddles","Multiply, then add the leftover.","4 x 7 + 3 = 31.","published"
"137","You have 5 five-dollar bills and 8 one-dollar coins. How much money in total?","33","40","38","13","A. 33","easy","Counting Tricks","Multiply, then add.","5 x 5 + 8 = 33.","published"
"138","A printer prints one page every 2 seconds. How long to print 85 pages?","170 seconds","85 seconds","103","340 seconds","A. 170 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","85 x 2 = 170 seconds.","published"
"139","A trip lasts 26 days. How many full weeks is that, and how many days are left over?","4 weeks","3 weeks and 5 days","3 weeks and 2 days","2 weeks and 12 days","B. 3 weeks and 5 days","easy","Age & Time Puzzles","Divide by seven.","26 divided by 7 is 3 weeks remainder 5.","published"
"140","A trip lasts 84 days. How many full weeks is that, and how many days are left over?","12 weeks and 0 days","11 weeks and 7 days","13 weeks","103","A. 12 weeks and 0 days","easy","Age & Time Puzzles","Divide by seven.","84 divided by 7 is 12 weeks remainder 0.","published"
"141","A farmyard has 6 chickens and 3 ducks. How many legs in total?","22","18","16","9","B. 18","easy","Counting Tricks","Both birds have two legs.","9 birds x 2 legs = 18.","published"
"142","A carpenter saws a wooden plank 5 times, straight across. How many pieces does he end up with?","5","6","7","10","B. 6","medium","Counting Tricks","Each cut adds one piece.","5 cuts make 6 pieces.","published"
"143","Half of me is 37. What number am I?","74","148","37","76","A. 74","easy","Number Riddles","Double the clue.","Twice 37 is 74.","published"
"144","A printer prints one page every 2 seconds. How long to print 60 pages?","240 seconds","120 seconds","60 seconds","103","B. 120 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","60 x 2 = 120 seconds.","published"
"145","A printer prints one page every 2 seconds. How long to print 44 pages?","88 seconds","44 seconds","176 seconds","103","A. 88 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","44 x 2 = 88 seconds.","published"
"146","I am a number: double me and add 7, and you land on 53. What am I?","30","23","27","19","B. 23","medium","Number Riddles","Work backwards from the total.","Subtract 7 to get 46, then halve: 23.","published"
"147","I am a three-digit number. My hundreds digit is 2, my tens digit is 1, and my ones digit is 1. My digits add up to what?","5","3","4","7","C. 4","medium","Number Riddles","Just add the three digits.","2 + 1 + 1 = 4.","published"
"148","A trip lasts 88 days. How many full weeks is that, and how many days are left over?","11 weeks and 11 days","12 weeks and 4 days","12 weeks and 3 days","13 weeks","B. 12 weeks and 4 days","easy","Age & Time Puzzles","Divide by seven.","88 divided by 7 is 12 weeks remainder 4.","published"
"149","I am a three-digit number. My hundreds digit is 2, my tens digit is 2, and my ones digit is 7. My digits add up to what?","11","16","12","14","A. 11","medium","Number Riddles","Just add the three digits.","2 + 2 + 7 = 11.","published"
"150","A printer prints one page every 2 seconds. How long to print 79 pages?","158 seconds","79 seconds","316 seconds","103","A. 158 seconds","easy","Counting Tricks","Multiply pages by seconds per page.","79 x 2 = 158 seconds.","published"
"151","A farmyard has 5 chickens and 6 ducks. How many legs in total?","20","22","11","26","B. 22","easy","Counting Tricks","Both birds have two legs.","11 birds x 2 legs = 22.","published"
"152","A trip lasts 43 days. How many full weeks is that, and how many days are left over?","6 weeks and 1 days","7 weeks","5 weeks and 8 days","6 weeks and 6 days","A. 6 weeks and 1 days","easy","Age & Time Puzzles","Divide by seven.","43 divided by 7 is 6 weeks remainder 1.","published"
