# Category: Brain Teasers

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"18","I am bought by the yard and hung by the window, and I dance whenever the breeze asks.","A flag","A net","A banner","A curtain","D. A curtain","medium","Classic Riddles","I frame your view of the street.","Curtains are sold by the yard, hang by the window, and sway with every passing breeze.","published"
"19","I am always hungry for paper, I bite without teeth, and I leave neat rows behind.","A printer","A stapler","A shredder","A scanner","C. A shredder","medium","Classic Riddles","An office machine that makes confetti.","A shredder devours whole documents and leaves nothing but neat rows of confetti.","published"
"20","I am taken before you get me, and I am always yours to give.","Your word","A photograph","A seat","A turn","A. Your word","medium","Classic Riddles","Break me and trust breaks too.","Your word is given before an action and kept afterward; breaking it costs trust.","published"
"21","I hang on the wall full of faces, I watch every room I am in, and I never say a word.","A mirror","A photo wall","A TV","A painting","B. A photo wall","medium","Classic Riddles","A whole family history, framed.","A photo wall holds generations of faces, watching every room in silence.","published"
"22","I am heavier in the morning, lighter by night, and gone when you finally need me most.","Time","A headache","Patience","Rain","C. Patience","medium","Classic Riddles","Children have none; teachers ask for it.","Patience feels shortest when most needed, tested hardest by evening.","published"
"23","I am sent with a kiss, opened with a tear, and kept in a shoebox forever.","A birthday card","A ticket","A photograph","A letter from camp","D. A letter from camp","medium","Classic Riddles","Postmarks and long distance.","A letter from a distant friend or camp is read with tears and kept for decades.","published"
"24","I am spent on the young and hoarded by the old, and no one has ever made more of me.","Time","Money","Wisdom","Luck","A. Time","medium","Classic Riddles","You cannot save me in a bank.","Time is spent freely in youth and rationed in age; no one manufactures more of it.","published"
"25","I am the only key that opens no lock, but turns every frown upside down.","A smile","A joke","A keyring","A compliment","A. A smile","easy","Classic Riddles","You carry it on your face.","A smile unlocks every room it enters and asks for no door at all.","published"
"26","I have a spout but no mouth, and I give drinks to flowers all summer long.","A watering can","A kettle","A fountain","A jug","B. A kettle","easy","Classic Riddles","Gardeners tip me over the roses.","A watering can pours through its spout, quenching flowers instead of people.","published"
"27","I am licked, sealed, and trusted with your secrets, then I travel without you.","A stamp","A postcard","An envelope","A parcel","C. An envelope","easy","Classic Riddles","Your words ride inside me.","An envelope carries your sealed words across the world while you stay home.","published"
"28","I bite the sky at the end of a string, dancing wherever the wind decides.","A kite","A flag","A balloon","A bird","A. A kite","easy","Classic Riddles","Hold tight to the string on windy days.","A kite dances at the end of its string, steering only where the wind allows.","published"
"29","I keep hot things hot and cold things cold, and I never once complain about the work.","A pot","A cooler","A fridge","A thermos","D. A thermos","easy","Classic Riddles","Soup stays soup until lunchtime.","A thermos flask holds heat or chill for hours, working in silence all day.","published"
"30","I am turned a hundred times a day and never once get dizzy.","A key","A doorknob","A tap","A screw","B. A doorknob","easy","Classic Riddles","Grab me to enter.","A doorknob spins all day long and never feels the turn.","published"
"31","I bite the washing on the line and never let go until I am asked.","A clip","A peg","A hook","A button","B. A peg","medium","Classic Riddles","Squeeze me open, hang the socks.","A clothespeg grips wet laundry on the line and releases only when squeezed.","published"
"32","I take the needle's blows all day so your finger never has to.","A tape measure","A pincushion","A thimble","A spool","C. A thimble","medium","Classic Riddles","A tiny armor for sewers.","A thimble shields the sewing finger from every push of the needle.","published"
"33","I am a clock made of sand, flipped twice a day, measuring time one grain at a time.","A scale","A sundial","A metronome","An hourglass","D. An hourglass","medium","Classic Riddles","Turn me over and start again.","An hourglass measures minutes in falling sand and restarts with a single flip.","published"
"34","I have five pockets but hold nothing myself; only you can fill me.","A glove","An apron","A purse","A vest","A. A glove","medium","Classic Riddles","Cold mornings know me well.","A glove offers five empty pockets until fingers arrive to warm them.","published"
"35","I hold the biggest ships in place though I weigh less than a whale's lunch.","A rope","A harbor wall","A sail","An anchor","D. An anchor","medium","Classic Riddles","I sink so they do not drift.","An anchor weighs far less than a ship yet pins it against wind and tide.","published"
"36","I show the world a tenth of myself and keep nine tenths hidden below.","A volcano","A swan","An iceberg","A whale","C. An iceberg","hard","Classic Riddles","Ships fear what they cannot see.","An iceberg reveals only its crown; the mass that sinks ships hides beneath.","published"
"37","I spin in place and swallow whatever drifts too close, and sailors give me wide berth.","A current","A waterfall","A tide","A whirlpool","D. A whirlpool","hard","Classic Riddles","A spiral in the sea.","A whirlpool spins boats toward its center and swallows drifting debris.","published"
"38","I dance across the plains on a whim and rearrange whole towns before supper.","A tornado","A thunderstorm","A dust devil","A hurricane","A. A tornado","hard","Classic Riddles","Funnel-shaped and feared.","A tornado crosses the plains in minutes, tossing roofs and barns aside.","published"
"39","The more you fight me, the deeper I take you; stay still and I let you go.","A current","Quicksand","A swamp","A sinkhole","B. Quicksand","hard","Classic Riddles","Struggling is the worst plan.","Quicksand pulls strugglers deeper; calm stillness keeps you near the surface.","published"
"40","I sleep peacefully on the mountaintop until one careless shout wakes me.","A blizzard","A glacier","An avalanche","A landslide","C. An avalanche","hard","Classic Riddles","Snow with a temper.","An avalanche lies dormant until a single loud noise brings the slope down.","published"
"41","I pick up iron without ever touching it, and I never let go until something pulls.","A magnet","A hook","A clamp","A hand","A. A magnet","medium","Classic Riddles","Fridge art depends on me.","A magnet moves and holds iron from a distance without a single touch.","published"
"42","Hold me to your ear and I will play you the ocean, though I have never seen it.","A seashell","A conch horn","A radio","A bottle","A. A seashell","medium","Classic Riddles","A spiral gift from the beach.","A seashell echoes the room into a distant-sounding sea against your ear.","published"
"43","I am short and steady, and I make the tallest cook in the kitchen.","A ladder","A step stool","A chair","A box","B. A step stool","easy","Classic Riddles","Top shelf, no problem.","A step stool lifts a small cook to the highest shelf in one hop.","published"
"44","I have steps but never walk, I lean but never fall, and I help you rise.","A staircase","A hill","A ramp","A ladder","D. A ladder","medium","Classic Riddles","Carry me to the gutter.","A ladder leans against the wall with steps that climb but never move.","published"
"45","I am born at night, hang from every blade of grass, and die by mid-morning.","Frost","Dew","Rain","Mist","B. Dew","hard","Classic Riddles","Sparkle on the lawn at dawn.","Dew condenses overnight onto grass and evaporates as the morning warms.","published"
"46","I paint the windows overnight in ferns and feathers, and no brush can claim me.","Frost","Mold","Paint","Moss","A. Frost","hard","Classic Riddles","Scrape me off the windscreen.","Frost etches icy fern patterns on glass, drawn by cold air alone.","published"
"47","I fall without breaking, cover the world in white, and vanish at a warm touch.","","","","","B","expert","Classic Riddles","Six-sided and silent.","Snow falls softly, blankets the ground, and melts at a fingertip.","published"
"48","I am carried on the wind, sting the eyes, and announce a desert's arrival.","","","","","A","expert","Classic Riddles","The horizon turns orange.","A sandstorm rides the wind off the desert, stinging eyes and turning skies orange.","published"
"49","I have no legs, yet I climb a whole house in a single summer night.","","","","","B","expert","Classic Riddles","Green fingers on the brickwork.","Ivy climbs entire walls without legs, gripping brick with tiny roots.","published"
"50","I am planted once and shade generations I will never meet, standing for centuries.","","","","","A","expert","Classic Riddles","Acorns to centuries.","An oak lives hundreds of years, shading people it will never know.","published"
"51","I hide under the flowerpot by the door, trusted by the whole family and any burglar who checks.","A spare key","A mat","A note","A bone","A. A spare key","easy","Classic Riddles","First place a locksmith would look.","The spare key lives under the same flowerpot everyone thinks is a secret.","published"
"52","I hang around your waist and catch whatever the cooking splashes at you.","A belt","An apron","A towel","A scarf","B. An apron","easy","Classic Riddles","Bakers and grillers wear me.","An apron takes the splashes and stains so your clothes never see them.","published"
"53","I eat pencils all day and leave nothing but curls behind.","A blender","A stapler","A sharpener","A peeler","C. A sharpener","easy","Classic Riddles","Spin me and feed me a pencil.","A pencil sharpener devours pencils whole and returns them pointed, covered in curls.","published"
"54","I get smaller every time you use me, and everyone is cleaner for it.","A soap bar","A sponge","A towel","A candle","A. A soap bar","easy","Classic Riddles","Rub me between wet hands.","A bar of soap shrinks with every wash while washing away everyone's dirt.","published"
"55","I end buzzing conversations with a single slap on the wall.","A fly swatter","A rolled newspaper","A hand","A racket","A. A fly swatter","easy","Classic Riddles","Summer's most satisfying sound.","A fly swatter ends the summer mosquito hum with one satisfying whack.","published"
"56","I am woven without hands, torn without anger, and rebuilt after every storm.","A net","A spider web","A hammock","A fence","B. A spider web","medium","Classic Riddles","Look at the garden hedge at dawn.","A spider web is spun leg by leg and rewoven after every wind that breaks it.","published"
"57","Count my rings and I will tell you every year I have stood.","An onion","A snail shell","A tree stump","A barrel","C. A tree stump","medium","Classic Riddles","Saw me flat and read my diary.","A tree trunk's rings record every year of its life, one circle at a time.","published"
"58","Turn my tube and a thousand fragments become a thousand new worlds.","A periscope","A telescope","A prism","A kaleidoscope","D. A kaleidoscope","medium","Classic Riddles","Tubes and mirrors and glitter.","A kaleidoscope rearranges its fragments into new patterns with every twist.","published"
"59","I gather in the corners under the bed, made of nothing and afraid of every breeze.","A dust bunny","A cobweb","A tumbleweed","A shadow","A. A dust bunny","medium","Classic Riddles","Found at cleaning day, scattered by one sweep.","A dust bunny collects shed fibers in the dark and scatters at the first sweep of a broom.","published"
"60","I spend my life fixing mistakes and shrinking a little with every one.","A pen","An eraser","A ruler","A highlighter","B. An eraser","medium","Classic Riddles","Rub me on the wrong line.","An eraser removes pencil errors and wears itself away in the process.","published"
"61","I slide under your heel and turn a struggle into a step.","A sole","A shoe brush","A shoehorn","A lace","C. A shoehorn","medium","Classic Riddles","Old shoes, tight shoes, thank me.","A shoehorn eases the heel into the shoe so the back does not crumple.","published"
"62","I turn quiet milk into mountains of cream with nothing but speed.","A bottle","A spoon","A fork","A whisk","D. A whisk","medium","Classic Riddles","Circles in a bowl, fast.","A whisk whips air into cream and eggs, turning liquid into peaks.","published"
"63","I hold my temper underground for years, then let the whole park have it at once.","A geyser","A volcano","A spring","A well","A. A geyser","hard","Classic Riddles","Old Faithful is my most patient cousin.","A geyser boils silently underground, then erupts skyward on its own schedule.","published"
"64","I grow downward without planting, one drop at a time, and a century makes me the length of your hand.","An icicle","A stalactite","A root","A waterfall","B. A stalactite","hard","Classic Riddles","Look up in a cave.","A stalactite lengthens drop by drop from cave ceilings, growing mere inches a century.","published"
"65","I flame across the night sky in glory and land as the most ordinary rock you have ever seen.","A satellite","A comet","A meteor","A flare","C. A meteor","hard","Classic Riddles","Wish on me while I burn.","A meteor blazes spectacularly overhead, then lands as an unremarkable stone.","published"
"66","I pick a quiet street, spin through it once, and am gone before anyone films me.","A whirlpool","A tornado","A gust","A dust devil","D. A dust devil","hard","Classic Riddles","The whirlwind's tiny cousin.","A dust devil spins up on hot days, dances down one street, and vanishes.","published"
"67","I flee when you chase me and gather calmly when you leave me alone.","Mercury","Water","Smoke","Sand","A. Mercury","hard","Classic Riddles","A silver metal with a mind of its own.","Mercury breaks into fleeing droplets when pushed and pools peacefully when left alone.","published"
"68","I promise a lake on the horizon and leave you standing on burning sand.","A reflection","A mirage","A rainbow","A cloud","B. A mirage","hard","Classic Riddles","Desert travelers know my cruelty.","A mirage paints water across hot sand and dissolves as you approach.","published"
"69","I am the mountain's sweat, warm from deep underground, and bathers sit in me all winter.","A sauna","A geyser","A hot spring","A mud pool","C. A hot spring","hard","Classic Riddles","Nature's own heated pool.","A hot spring is groundwater warmed by the earth, steaming in the coldest weather.","published"
"70","I am the sky's drum, rolled out a few seconds after the flash.","Wind","An echo","Rain","Thunder","D. Thunder","hard","Classic Riddles","Count the seconds to measure the distance.","Thunder follows lightning by seconds, rolling across the distance it traveled.","published"
"71","I am made by thousands of sisters, and I grow sweeter the longer I sit.","","","","","A","expert","Classic Riddles","Spooned from the hive for millennia.","Honey is made by bees and keeps for centuries, growing richer as it rests.","published"
"72","I am wood that has died twice, once by fire and once by pressure, and artists love my darkness.","","","","","A","expert","Classic Riddles","The artist's black stick.","Charcoal is burnt wood, compressed and trimmed into the artist's deepest black.","published"
"73","I crackle in winter, bite your fingertips, and make every balloon a sticker.","","","","","A","expert","Classic Riddles","Shuffling socks on carpet.","Static electricity crackles on dry winter days and makes balloons cling to walls.","published"
"74","I am a tree's tears hardened into treasure, sometimes still holding a passenger.","","","","","A","expert","Classic Riddles","Gold stone with an insect inside.","Amber is fossilized tree resin, occasionally preserving an insect for millions of years.","published"
"75","I spit light for one bright minute, then die quietly as an ordinary stick.","","","","","A","expert","Classic Riddles","Held at arm's length on New Year.","A sparkler flares and hisses for a minute, leaving only a hot wire behind.","published"
"76","I am checked hopefully at five, hopefully at nine, and mostly full of bills.","The mailbox","The drawer","The inbox","The shelf","A. The mailbox","easy","Classic Riddles","Stand at the gate and look inside.","The mailbox rewards every hopeful opening with flyers, bills, and the rare letter.","published"
"77","I hang by the kitchen sink, covered in doodles, dry by morning.","An apron","A tea towel","A curtain","A napkin","B. A tea towel","easy","Classic Riddles","Famous for doodles of hands.","The tea towel dries the dishes and collects doodles while the cook waits.","published"
"78","I am made of cardboard, opened at breakfast, and empty before the school run.","A biscuit tin","A lunchbox","A cereal box","A shoebox","C. A cereal box","easy","Classic Riddles","The prize is always at the bottom.","The cereal box feeds the household by eight and collapses before the school run.","published"
"79","I lie coiled by the tap all winter and dance across the lawn all summer.","A ladder","A rope","A swing","A hose","D. A hose","easy","Classic Riddles","Spray me and the flowers cheer.","The garden hose naps by the tap in winter and snakes across the grass in summer.","published"
"80","I stand in the bathroom and tell you a number you did not want to know.","A mirror","A scale","A toothbrush","A towel rail","B. A scale","easy","Classic Riddles","Step on me bravely, once a year.","The bathroom scale waits to announce a number that no one wants to read.","published"
"81","I point wherever the wind insists, and farmers read me from across the field.","A compass","A flag","A weathervane","A kite","C. A weathervane","medium","Classic Riddles","A rooster often rides on me.","A weathervane swings with the wind above every barn, telling direction at a glance.","published"
"82","I tell the time with nothing but a stick, a plate, and the sun's patience.","An hourglass","A pendulum","A watch","A sundial","D. A sundial","medium","Classic Riddles","Cloudy days make me useless.","A sundial casts a shadow that becomes the hour, working only while the sun cooperates.","published"
"83","I read the sky's mood before the sky admits anything is coming.","A radio","A thermometer","A telescope","A barometer","D. A barometer","medium","Classic Riddles","Falling numbers mean rain.","A barometer senses pressure changes and predicts the weather hours early.","published"
"84","I let the summer breeze in and keep every buzzer firmly out.","A fly screen","A curtain","A blind","A shutter","A. A fly screen","medium","Classic Riddles","Mesh in the window frame.","A window screen passes the breeze freely and stops insects at the mesh.","published"
"85","I stand guard in every flower border, defending absolutely nothing, delighting everyone.","A scarecrow","A garden gnome","A fence","A statue","B. A garden gnome","medium","Classic Riddles","Pointed hat, fishing rod, permanently smiling.","The garden gnome guards nothing, yet no flowerbed feels complete without one.","published"
"86","I eat the garden's leftovers all year and pay for it in black gold.","A greenhouse","A wheelbarrow","A compost bin","A shed","C. A compost bin","medium","Classic Riddles","Peelings in, fertilizer out.","A compost bin turns kitchen and garden waste into rich, dark soil.","published"
"87","I hold you between two trees, and suddenly the afternoon is gone.","A tent","A swing","A bench","A hammock","D. A hammock","medium","Classic Riddles","Tied and sagging, pure nap.","A hammock strung between trees turns any warm afternoon into a nap.","published"
"88","I am measured in hands, yet I have never once worn gloves.","A horse","A jockey","A statue","A shadow","A. A horse","hard","Classic Riddles","Four inches per hand at the stable.","Horses are measured in hands at the shoulder, though no glove would fit a hoof.","published"
"89","I am the smell of rain arriving from far away, and dogs notice me first.","Pollen","Petrichor","Salt","Smoke","B. Petrichor","hard","Classic Riddles","The word for the scent of dry earth in rain.","Petrichor is the earthy smell released when rain first hits dry ground.","published"
"90","I am buried all autumn by masked thieves and found again by spring, exactly where memory failed.","Treasure","Turnips","Acorns","Bones","C. Acorns","hard","Classic Riddles","Squirrels plant forests by forgetting.","Squirrels bury acorns and forget most of them, planting next century's oaks.","published"
"91","I am the only alarm that crows at dawn and cannot be snoozed.","A gull","A bell","A thunderclap","A rooster","D. A rooster","hard","Classic Riddles","Farmyard wakeup service.","The rooster announces dawn on schedule, immune to every snooze button.","published"
"92","I am born at sea, walk quietly ashore, and die on the hills without ever being held.","Fog","Rain","Dew","Steam","A. Fog","hard","Classic Riddles","You can walk through me but never grab me.","Fog drifts in from the sea, wraps the hills, and lifts without leaving a trace.","published"
"93","I am the only lamp lit by a distant fire, full, crescent, or new, watched by wolves and poets.","","","","","A","expert","Classic Riddles","It changes shape monthly.","The moon glows with reflected sunlight, cycling through its phases overhead.","published"
"94","I am ground that walks, older than the hills built on me, drifting on since the ice let go.","","","","","A","expert","Classic Riddles","Rivers of ice, patient for millennia.","A glacier is ice in slow motion, reshaping valleys across thousands of years.","published"
"95","I am the forest's mattress, softer than I look, home to more small lives than the trees above.","","","","","A","expert","Classic Riddles","A green carpet on the north side.","Moss cushions the forest floor and shelters countless tiny creatures.","published"
"96","I am the garden's door that creaks in every ghost story and slams in every comedy.","The shed","The garden gate","The greenhouse","The porch","B. The garden gate","medium","Classic Riddles","Latch it or the wind will write the plot.","The garden gate creaks and slams on cue, the star of a thousand tales.","published"
"97","I am the porch's own music, rocked by feet at dusk, chains keeping the rhythm.","A rocking chair","A wind chime","A porch swing","A hammock","C. A porch swing","medium","Classic Riddles","Two chains, one seat, slow evenings.","The porch swing creaks softly through summer evenings, chains keeping time.","published"
"98","I drum the lawn in slow circles and children chase my rainbow.","A watering can","A fountain","A hose","A sprinkler","D. A sprinkler","medium","Classic Riddles","Summer's spinning water toy.","The lawn sprinkler turns watering into a rainbow that children run through.","published"
"99","I am the bird's one-room house, woven from string and hope, abandoned by autumn.","A nest","An aviary","A birdhouse","An egg","A. A nest","hard","Classic Riddles","Built each spring, empty by fall.","A nest is woven fresh each spring from whatever the garden offers, then left behind.","published"
"100","I am the summer's slow applause, slapping at every porch screen on a windless night.","A branch","A moth","A flag","A curtain","B. A moth","hard","Classic Riddles","Drawn to the porch light, all night.","Moths tap and slap against porch screens all summer, drawn helplessly to the light.","published"
"101","I dance twice a day in your mouth and fight the sugar on your behalf.","A toothbrush","A comb","A tongue","A toothpick","A. A toothbrush","easy","What Am I?","Tiny bristles, twice daily.","A toothbrush scrubs your teeth morning and night, guarding them from sugar.","published"
"102","I sit on your nose all day and help you read the world in focus.","A mask","Glasses","A microscope","A monocle","B. Glasses","easy","What Am I?","Two lenses and a hinge.","Glasses perch on your nose and bend light until the world sharpens.","published"
"103","I hold your heel every single day and never take a step alone.","A sock","A pedal","A carpet","A shoe","D. A shoe","easy","What Am I?","Left and right, by the door.","A shoe carries you everywhere yet cannot move without your foot inside.","published"
"104","I am your nightly landing pad, and my cool side is always the one you want.","A hat","A towel","A cushion","A pillow","D. A pillow","easy","What Am I?","Flip me over at 3 a.m.","A pillow cushions your head nightly, and the cool side saves the hot night.","published"
"105","I catch whatever sneezes loose and give my life in the wash.","A handkerchief","A tissue","A towel","A scarf","A. A handkerchief","easy","What Am I?","A pocket square with a job.","A handkerchief intercepts every sneeze and surrenders itself to the laundry.","published"
"106","I am squeezed from the tube every morning and end my life on a brush.","Shaving foam","Toothpaste","Paint","Glue","B. Toothpaste","easy","What Am I?","Minty and foamy, twice a day.","Toothpaste is pressed out daily and spent entirely on your toothbrush.","published"
"107","I love parties, fear needles, and finish every birthday with a bang.","A cracker","A piñata","A balloon","A candle","C. A balloon","easy","What Am I?","Full of air, terrified of corners.","A balloon thrives at parties and dies dramatically at the first sharp touch.","published"
"108","I have points but I never score, and I lift everything to your mouth.","A rake","A comb","An arrow","A fork","D. A fork","medium","What Am I?","Four tines, zero goals.","A fork is full of points yet scores nothing, delivering every bite instead.","published"
"109","I open only when the sky cries, and I fold myself away when it smiles.","An umbrella","A fan","A tent","A coat","A. An umbrella","medium","What Am I?","Canopy on a folding frame.","An umbrella blooms open in the rain and collapses the moment it stops.","published"
"110","You unmake me every morning and remake me every night, and I hold your dreams and your phone.","Your desk","Your bed","Your wardrobe","Your sofa","B. Your bed","medium","What Am I?","Sheets, blanket, done.","A bed is stripped each morning, rebuilt each night, and shares itself with your phone.","published"
"111","I rule the household from the sofa and vanish at the crucial moment.","A wallet","A phone","A TV remote","A book","C. A TV remote","medium","What Am I?","Down the side of the cushions, again.","The remote controls everything and hides between the cushions exactly when needed.","published"
"112","I am dunked repeatedly, give my best under pressure, and end up in the bin.","A tea towel","A sponge","A coffee filter","A tea bag","D. A tea bag","medium","What Am I?","Steeped and squeezed by the cup.","A tea bag is plunged again and again, releasing flavor until it is spent.","published"
"113","I take you up in the morning and down at night, twelve steps, no complaints.","The stairs","The lift","The ladder","The hill","A. The stairs","medium","What Am I?","Count me, huffing.","The staircase carries you both ways daily and is counted only when tired.","published"
"114","I know everyone you know, yet I still get no respect at the dinner table.","Your address book","Your phone","Your diary","Your wallet","B. Your phone","medium","What Am I?","Face down, buzzing, ignored.","The phone holds your entire social world and still lies ignored beside your plate.","published"
"115","I am born in the freezer, dance in your drink, and die without a trace.","A snowball","A popsicle","An ice cube","A hailstone","C. An ice cube","medium","What Am I?","Clink, fizz, gone.","An ice cube rattles in the glass and melts away leaving only cold water.","published"
"116","I copy you perfectly every morning and never once take the credit.","A recording","A photo","A twin","A mirror","D. A mirror","medium","What Am I?","Silvered glass, honest answer.","A mirror duplicates you exactly and never asks for thanks.","published"
"117","I am struck once, useful for a minute, and thrown away warm.","A match","A sparkler","A lighter","A candle","A. A match","hard","What Am I?","One strike, one flame, one bin.","A match burns bright for seconds, serves its purpose, and is discarded.","published"
"118","I travel the world half-naked, showing complete strangers your holiday.","A passport","A postcard","A diary","A postmark","B. A postcard","hard","What Am I?","A stamp, a view, no envelope.","A postcard crosses continents with its message open for every postal worker to read.","published"
"119","I hold you together at seven in the morning and am loosened gratefully after dinner.","A zip","A tie","A belt","A button","C. A belt","hard","What Am I?","Leather, holes, and a buckle.","A belt cinches you into the day and is relaxed the moment the meal ends.","published"
"120","I keep everyone straight and spend my days measuring their differences.","A spirit level","A judge","A scale","A ruler","D. A ruler","hard","What Am I?","Thirty centimeters of order.","A ruler enforces straight lines and quantifies every length it meets.","published"
"121","I hold entire projects together, yet I fall apart inside my own tube.","Glue","Tape","A staple","A screw","A. Glue","hard","What Am I?","Squeeze me and I stick; wait and I dry.","Glue binds everything except its own cap, where it dries solid.","published"
"122","I have five members and a thumb, clap for everyone else, and point everywhere but at myself.","A glove","Your hand","A crowd","A clock","B. Your hand","hard","What Am I?","Palm, knuckles, high fives.","A hand applauds others all day and cannot point at its own palm.","published"
"123","I guide sailors home through the darkest night with a single turning eye.","","","","","A","expert","What Am I?","A tower and a sweeping beam.","A lighthouse sweeps its beam across the sea, leading ships past the rocks.","published"
"124","I sleep for centuries, then remember I am a mountain, and the maps must be redrawn.","","","","","A","expert","What Am I?","Cone-shaped, occasionally furious.","A volcano slumbers for centuries, then erupts and rewrites the landscape.","published"
"125","I am the night's slow artist, eating holes in the roses and leaving silver script on the path.","","","","","A","expert","What Am I?","A house on my back, patience in my trail.","A snail grazes the garden all night, drawing a silver line behind its shell.","published"
"126","I have a wild head of hair and clean up everyone's messes without complaint.","A mop","A broom","A rag","A brush","A. A mop","easy","What Am I?","Bucket and swirl, floor is clean.","A mop swishes its tangled head across the floor, absorbing every spill.","published"
"127","I run on two wheels and a sandwich, and I am happiest going downhill.","A scooter","A bicycle","A unicycle","A skateboard","B. A bicycle","easy","What Am I?","Pedals, chain, bell.","A bicycle converts your lunch into motion and rejoices on every downhill.","published"
"128","I wear your favorite slogan and hold your morning in both hands.","A thermos","A teapot","A mug","A glass","C. A mug","easy","What Am I?","Handle on the side, steaming inside.","A mug carries your coffee and advertises your sense of humor.","published"
"129","I am bought in perfect pairs and divorced forever in the wash.","An earring","A glove","A shoe","A sock","D. A sock","easy","What Am I?","One always vanishes behind the drum.","Socks enter the washing machine as couples and leave as lonely singles.","published"
"130","I sit in the plughole all day and catch whatever should not disappear.","A sink strainer","A colander","A sieve","A net","A. A sink strainer","easy","What Am I?","The drain's first line of defense.","The sink strainer traps every crumb and hair before the pipes can protest.","published"
"131","I have a body, a neck, and I weep beautifully when stroked.","A violin","A guitar","A banjo","A harp","B. A guitar","medium","What Am I?","Six strings, wooden curves.","A guitar sings under a strumming hand, its wooden body doing the weeping.","published"
"132","I eat light all day and keep your memories in a pocket.","A diary","A mirror","A camera","A scanner","C. A camera","medium","What Am I?","A thousandth of a second, kept forever.","A camera swallows light in an instant and stores the moment forever.","published"
