# Category: Lateral Thinking

"#","question","optionA","optionB","optionC","optionD","answer","level","subject","hint","explanation","status"
"32","A chess grandmaster loses to an eight-year-old in public and smiles about it all evening.","It was a simultaneous exhibition","The grandmaster's clock failed","The child is the world junior champion","It was a teaching demonstration with a script","A. It was a simultaneous exhibition","medium","Lateral Puzzles","One master was playing thirty boards at once.","Masters playing thirty opponents at once happily concede a board to a lucky kid.","published"
"33","A man's most treasured possession is a wrinkled paper he will never redeem.","A coupon from childhood","A winning lottery ticket","An old parking fine","The receipt from his first date","D. The receipt from his first date","hard","Lateral Puzzles","One dinner, kept forever.","A first-date receipt is kept for decades as a love letter in ink.","published"
"34","A woman buys two cinema tickets and laughs through the film in one seat, the other empty.","Her coat has its own ticket","Her friend arrived at the wrong cinema","Her phone sits propped on the second seat","She is a cinema inspector","C. Her phone sits propped on the second seat","medium","Lateral Puzzles","She is not actually watching alone.","The empty seat holds her phone, filming her reactions for the internet.","published"
"35","A man reads the same book aloud to a full theater every December, and the audience mouths every word.","An annual staged reading tradition","A radio drama recording","A rehearsal that never ends","A book club meeting","A. An annual staged reading tradition","hard","Lateral Puzzles","Bah, humbug, every single year.","A Christmas Carol is performed as a reading every festive season by tradition.","published"
"36","A woman works all day in a field sitting in a wheeled chair beside a herd of cows.","She is filming a documentary","She is an animal psychologist","She is a farm manager on a mobile milking stool","She sells farm machinery","C. She is a farm manager on a mobile milking stool","hard","Lateral Puzzles","The barn office has four wheels.","Herd managers spend calving season on wheeled seats in the field, watching around the clock.","published"
"37","A man donates his entire book collection to a library and then reads them all again.","He borrows them back for free","He moved into a tiny apartment","He wanted the empty shelves","His new home bans books","A. He borrows them back for free","easy","Lateral Puzzles","Same books, new library card.","Donating books to the library means reading them again without storing them.","published"
"38","A woman repaints her house number on the roof every spring.","Aerial deliveries and helicopters read from above","A drone photographer asked her to","The paint fades in winter","The street sign kept going missing","A. Aerial deliveries and helicopters read from above","medium","Lateral Puzzles","Look up, not down the road.","Roof numbers guide drone deliveries and rescue helicopters straight to the door.","published"
"39","A man crosses the whole city each week to buy one particular newspaper from one particular shop.","It is the only paper that interviews him","It prints his vintage cartoon","It carries the crossword he constructs","It is the last kiosk stocking his hometown paper","C. It carries the crossword he constructs","medium","Lateral Puzzles","He solves himself every Sunday.","The kiosk is the only outlet for the paper carrying his own puzzle page.","published"
"40","A driver runs three red lights in front of a police car and is thanked instead of ticketed.","It was a film shoot","He was escorting an ambulance","The lights were broken and dark","He was being chased","B. He was escorting an ambulance","medium","Lateral Puzzles","He was going the same way as the siren.","Volunteer drivers leading emergency vehicles through traffic run lights with blessing.","published"
"41","A woman waters her garden only at night, in the dark, holding a small red light.","Her flowers bloom only after sunset","Her plants fear direct water","She avoids the midday sun","She follows a moon-planting calendar","A. Her flowers bloom only after sunset","hard","Lateral Puzzles","Some flowers open only for the night shift.","Night-blooming gardens are tended after dark to match their pollinators' hours.","published"
"42","A man mails a shoebox of sand across the world to the same friend every year.","The friend emigrated and misses that beach","It is a family reunion invitation","The friend builds sculpture replicas","They are rivals in sand collecting","A. The friend emigrated and misses that beach","hard","Lateral Puzzles","The friend cannot walk that shore anymore.","An emigrant receives a yearly box of sand from the beach they both grew up on.","published"
"43","A woman claps twice at her garden fence every summer evening, and something always claps back.","Her son signals from an upstairs window","A trained parrot responds","Her neighbor answers with the same clap","The wind chime echoes her","C. Her neighbor answers with the same clap","medium","Lateral Puzzles","Two gardens, one signal: dinner is ready.","Neighbors clap a dinner signal across adjoining gardens where shouting would carry.","published"
"44","A woman visits the barber monthly to go shorter, until one day he refuses and she thanks him anyway.","She donates each cut to wig charities","He only trims now","She is an actress between roles","She switched to wearing scarves","A. She donates each cut to wig charities","medium","Lateral Puzzles","The inches keep leaving, for a good cause.","Repeat donors give their hair to wig charities until too little remains to bother.","published"
"45","A man keeps a bent umbrella in his car trunk and points it at the river every evening.","It signals his return to family","It marks his parking spot","It shades his picnic table","It shields him while he fishes","D. It shields him while he fishes","hard","Lateral Puzzles","It faces the water, not the sky.","Angled fishing umbrellas block sun and drizzle for anglers sitting at the bank.","published"
"46","A city pays a man to stand still in a field all summer, shifting his weight now and then, and the birds give up.","A bird ringing warden","A drone operator","A park ranger","A human scarecrow","D. A human scarecrow","hard","Lateral Puzzles","Crows ignore straw men but not lunch breaks.","Some farms hire real people as scarecrows because clever crows ignore dummy ones.","published"
"47","A man unfolds a folding chair beside the river at sunset every evening in summer.","He is a regular fisherman","He watches the evening rowing club","He queues for the drive-in","He is the bridge tender on break","A. He is a regular fisherman","medium","Lateral Puzzles","A rod rests beside the chair.","The riverbank sunset is his fishing hour, chair unfolded, rod in the water.","published"
"48","A woman feeds a machine nothing but paper all day, and it thanks her by making the paper unreadable.","A shredder","A printer","A scanner","A paper press","A. A shredder","easy","Lateral Puzzles","Strip by strip, goodbye.","Office shredders devour documents and leave nothing but unreadable ribbons.","published"
"49","A man directs traffic at a jammed crossroads with no uniform, no lights, and no authority, and drivers obey with a smile.","He is a film director on location","He holds a friendly handmade sign","He is a parade marshal","He is rehearsing a street performance","B. He holds a friendly handmade sign","medium","Lateral Puzzles","His cardboard sign just says go on then.","In some towns a local with a cheerful sign untangles the daily jam better than lights.","published"
"50","A woman's mail is delivered by boat, and she would not change a thing.","She works at a marina","She lives on an island","She runs a floating post office","Her village flooded years ago","B. She lives on an island","easy","Lateral Puzzles","No road leads to her door.","Island residents receive mail by boat when the sea is the only road.","published"
"51","What tool do curling players use to steer a forty-pound stone?","","","","","a broom","expert","Lateral Puzzles","Sweeping changes the ice itself.","Sweeping warms a microfilm of ice, bending the stone's path.","published"
"52","What does a woman flip over and tap every night before entering her house?","","","","","an umbrella","expert","Lateral Puzzles","It may be carrying passengers indoors.","A sharp tap on the ground evicts any spider sheltering in the folded canopy.","published"
"53","What occupies the second seat on every train journey this man takes?","","","","","a cello","expert","Lateral Puzzles","Too fragile for the luggage rack.","Cellists buy a second ticket because the instrument cannot ride in the hold.","published"
"54","What does the delighted farmer harvest from a field where nothing edible grows?","","","","","stone","expert","Lateral Puzzles","It is stacked, not weighed by the bushel.","Some fields yield saleable building stone that farmers harvest like any crop.","published"
"55","A man photographs the same empty street corner every hour for a year, and companies pay him handsomely for the pictures.","He documents weather changes","He is a street photographer","He sells construction time-lapse footage","He works for the city archive","C. He sells construction time-lapse footage","medium","Lateral Puzzles","His corner will hold a tower one day.","Builders buy his time-lapse footage to record every stage of construction.","published"
"56","A man pays to jump off a bridge every weekend, attached to nothing but an elastic rope, and he is soberly professional about it.","He is the bungee operator testing the cords","He is recovering from a fear of heights","He trains for stunt work","He collects jump photographs","A. He is the bungee operator testing the cords","medium","Lateral Puzzles","Someone has to jump first.","The bungee master tests every cord with his own body before customers arrive.","published"
"57","A pianist performs to a sold-out hall where nobody hears a single note, and nobody leaves disappointed.","It was a silent film night","The concert is signed and felt by a deaf audience","The speakers broke mid-show","The crowd wore headphones","B. The concert is signed and felt by a deaf audience","medium","Lateral Puzzles","The music is felt in the floor and seen in the hands.","Deaf audiences feel vibrations and watch interpreters sign the entire concert.","published"
"58","A man studies a wall of missing pet posters and knows exactly where one of the cats is.","He volunteers at the shelter where it was taken","He is the cat's former owner","He is the person who found it","He follows the rescue page online","A. He volunteers at the shelter where it was taken","medium","Lateral Puzzles","The cat is safe, scanned, and waiting.","The cat landed in a shelter where his microchip is waiting to be scanned.","published"
"59","A bakery sells out perfectly every day with exactly nothing left over.","She donates all leftovers","She bakes to exact preorder numbers","A shelter collects the rest","The day's extras feed the staff","B. She bakes to exact preorder numbers","easy","Lateral Puzzles","No wastage, no guessing.","Her bakery produces to preorder counts, so supply matches demand to the crumb.","published"
"60","A man stands in a field wearing a harness attached to nothing, running forward into the wind again and again.","He is testing new harnesses","He is practicing paraglider control on the ground","He is training for sled racing","He is a kite stunt performer","B. He is practicing paraglider control on the ground","hard","Lateral Puzzles","The wing inflates overhead, but his feet stay down.","Paraglider pilots spend hours ground-handling, learning the wing before ever flying.","published"
"61","A man recites train times from memory, and strangers at the platform thank him daily.","He staffs the station information desk as a volunteer","He is a retired conductor","He memorized the timetable on a dare","He runs the station's social media","A. He staffs the station information desk as a volunteer","easy","Lateral Puzzles","The help desk suits his timetable brain.","Volunteer helpers with timetable knowledge guide a whole platform's worth of travelers.","published"
"62","A gardener plants signs instead of seeds, and by summer the whole neighborhood blooms.","He runs a neighborhood seed library","He sells garden ornaments","He maps where flowers will go","He organizes a planting day","A. He runs a neighborhood seed library","easy","Lateral Puzzles","Borrow seeds in spring, return them in autumn.","A seed library lends packets out and takes saved seed back at season's end.","published"
"63","A woman's most productive working hours happen at 30,000 feet, and she is neither pilot nor cabin crew.","She manages a remote team across time zones","She books long flights to write undisturbed","She is a travel blogger","She sleeps in premium cabins","B. She books long flights to write undisturbed","easy","Lateral Puzzles","No signal means no interruptions.","Writers book long-haul flights purely for the uninterrupted hours above the clouds.","published"
"64","A museum's most touched exhibit is a rock that is worth almost nothing.","It survived a famous fire","It is the lucky stone guests rub for fortune","It was the museum's first donation","Children use it in the sandpit","B. It is the lucky stone guests rub for fortune","easy","Lateral Puzzles","Everyone touches it on the way in.","The entrance stone is polished smooth by decades of visitors rubbing it for luck.","published"
"65","A man plays the same chess game for twenty years, one move a month, and has never met his opponent.","It is a correspondence game with a pen pal","He plays against a slow computer","He replays famous matches","His partner travels constantly","A. It is a correspondence game with a pen pal","easy","Lateral Puzzles","The post carries every move.","Correspondence chess by mail stretches one game across decades and continents.","published"
"66","A man paints nothing but dashes, miles of them, and is proud of every single one.","He is a road line painter","He is a zebra crossing artist","He paints car park bays","He is a run track marker","A. He is a road line painter","easy","Lateral Puzzles","His work guides every driver home.","Road marking crews lay the dashes every driver follows without a thought.","published"
"67","A man's shop sells an item no one admits needing, and business booms every laundry day.","He sells washing machine parts","He sells single replacement socks","He sells clothes pegs","He repairs zippers","B. He sells single replacement socks","easy","Lateral Puzzles","The washing machine ate the other one.","His stall sells the odd single sock to replace the ones the wash devoured.","published"
"68","A man crosses an international border twice a day without showing a passport, and the guards wave.","He holds a special commuter visa","His bedroom is in one country, his kitchen in the other","He works at the crossing","He has diplomatic plates","B. His bedroom is in one country, his kitchen in the other","hard","Lateral Puzzles","His house sits exactly on the line.","Homes built on the border line mean every room change crosses a country.","published"
"69","A man is paid to sit beside nervous passengers and talk them through every flight.","He trains cabin crews","He works for a flying companion service","He is an in-flight counselor","He writes fear-of-flying books","B. He works for a flying companion service","easy","Lateral Puzzles","His whole job is a calm voice at seat 14B.","Fearful flyers can book trained companions who hold their hand through takeoff.","published"
"70","A woman keeps hives in the busiest part of the city, floors above a bank vault.","She is an urban rooftop beekeeper","She rescues swarms downtown","She supplies hotel restaurants","She studies city pollination","A. She is an urban rooftop beekeeper","easy","Lateral Puzzles","The best city flowers are at her altitude.","Rooftop apiaries thrive on rooftop gardens high above the traffic.","published"
"71","A herd of cows sees the vet the moment their collars count too few of something.","The collars order feed automatically","The collars measure their weight","The activity collars track their steps","The collars play calming music","C. The activity collars track their steps","hard","Lateral Puzzles","A sick cow stops strolling.","Smart collars count each cow's steps, and a sudden drop flags illness early.","published"
"72","A man's job title is his costume: he wears the advertisement he is paid to deliver.","A sandwich-board man","A billboard poster","A mascot performer","A leaflet distributor","A. A sandwich-board man","easy","Lateral Puzzles","He walks the ad up and down the high street.","The sandwich-board man is a walking, human billboard.","published"
"73","The town's quietest bridge has a full-time keeper who raises it twice a day for the same single boat.","He is the ferry captain","He opens it for the swim club","He tends a drawbridge for one ferry","He collects tolls from one barge","C. He tends a drawbridge for one ferry","hard","Lateral Puzzles","One mast, twice daily, right on schedule.","A small drawbridge opens on schedule for the one boat that needs it.","published"
"74","A post office delivers a letter fifty years late and still honors the original stamp.","It was a collector's favor","The stamp appreciated in value","The family paid the back postage","The dead letter office respects the old postage","D. The dead letter office respects the old postage","hard","Lateral Puzzles","Two cents, fifty years old, still valid.","Mail found behind old fixtures is delivered, and the vintage stamp still counts.","published"
"75","What does the deaf audience feel through the floor at the signed piano concert?","","","","","the music","expert","Lateral Puzzles","Music arrives through the bones.","Deaf concertgoers feel the piano through the hall's floorboards.","published"
"76","What does the border-town man cross to walk from his bedroom to his kitchen?","","","","","the border","expert","Lateral Puzzles","The line runs through his house.","His house sits across the frontier, so breakfast is in another country.","published"
"77","What do the smart collars count to warn the farmer that a cow is unwell?","","","","","steps","expert","Lateral Puzzles","A quiet day on the hooves is a red flag.","A sudden drop in a cow's daily step count flags illness before symptoms show.","published"
"78","What crosses the little drawbridge twice a day, on the dot?","","","","","the ferry","expert","Lateral Puzzles","Its mast is the only reason the bridge ever moves.","The drawbridge's sole customer is the daily ferry with its tall mast.","published"
"79","What does a seed library lend out in spring and collect back in autumn?","","","","","seeds","expert","Lateral Puzzles","Borrow, grow, and return the next generation.","Gardeners borrow seed packets and return saved seed from the harvest.","published"
"80","A man reads the obituaries every morning, then phones strangers, and the families thank him through tears.","He archives newspaper pages","He photographs headstones for relatives abroad","He sells funeral flowers","He writes the town history","B. He photographs headstones for relatives abroad","medium","Lateral Puzzles","Far-off families cannot visit the grave themselves.","He offers faraway relatives a photo of their loved one's headstone, taken to order.","published"
"81","A woman runs in the marathon without a race number, and the officials clock her personally.","She is the course photographer","She is testing the route","She is the official pace setter","She is a retired champion","C. She is the official pace setter","medium","Lateral Puzzles","Her only job is the finish time.","The pace setter runs on schedule without racing, so others can hit their target time.","published"
"82","A man buys every stopped watch at the flea market and repairs none of them.","He sells the faces and hands to artists","He times bread with them","He resells them working","He wears one per day","A. He sells the faces and hands to artists","hard","Lateral Puzzles","Artists want the parts, not the time.","Watch faces and hands become raw material for artists and jewelers.","published"
"83","A woman's greenhouse holds no plants at all, only hundreds of tiny labeled bottles.","She keeps an insect zoo","She cultures wild yeast","She preserves rare seed varieties","She brews herbal remedies","C. She preserves rare seed varieties","medium","Lateral Puzzles","Each bottle is a whole harvest, asleep.","She banks rare seeds from old farms, keeping lost varieties alive in glass.","published"
"84","A man carries a folding stool to every gallery and sits for hours before a single painting.","He is a security guard","He is an art student copying the brushwork","He is the gallery cleaner","He naps among the paintings","B. He is an art student copying the brushwork","medium","Lateral Puzzles","His sketchbook grows one canvas at a time.","Copyists sit in museums for weeks, learning masterworks stroke by stroke.","published"
"85","A man stands at the foggiest bend of the coast road and rings an old bell all night.","He warns trucks around the blind curve","He is fishing in the dark","He tests the foghorn at dawn","He is ringing for the tide","A. He warns trucks around the blind curve","hard","Lateral Puzzles","Before reflectors and lamps, his bell was the warning.","The bend keeper rings the bell through fog so truckers hear the corner coming.","published"
"86","A man writes the same two words on the town wall every week, and the council leaves him alone.","Wet Paint","Hello Again","No Parking","Come Back Soon","A. Wet Paint","medium","Lateral Puzzles","The words are true every single time.","He repaints the wall weekly, and his two-word warning is always honest.","published"
"87","A woman's taxi license is worth more than the taxi itself.","Her plates spell a famous word","The car is a priceless antique","The city medallion is the real asset","The taxi is a film prop","C. The city medallion is the real asset","hard","Lateral Puzzles","The permit outprices the vehicle.","City taxi medallions historically traded for more than any cab they adorned.","published"
"88","A man's commute takes twenty-two seconds and involves one flight of stairs.","He works in his apartment block","He lives above his own bakery","His office is the garage","He converted his van","B. He lives above his own bakery","easy","Lateral Puzzles","The ovens warm the floor above.","He sleeps over his bakery and walks downstairs to the morning shift.","published"
"89","A woman knits sweaters at night for strangers made entirely of bronze.","She outfits a theater's mannequins","She yarn-bombs the town statues","She dresses scarecrows for winter","She restores tapestries","B. She yarn-bombs the town statues","medium","Lateral Puzzles","The bronze general never complains about the cold.","Yarn bombers dress public statues in knitted sweaters overnight.","published"
"90","A man attends four thousand weddings and knows no one at any of them.","He plays in a wedding band","He is a hired professional applauder","He is the venue's waiter","He is the photographer's assistant","B. He is a hired professional applauder","hard","Lateral Puzzles","His applause is purchased by the hour.","Professional claques are paid to fill weddings and shows with warm, convincing applause.","published"
"91","A woman's bookshop has no books at all, only shelves of dog-eared paperbacks that come and go.","She sells book-shaped lamps","It is a book-swap in an old phone box","It is a library discard bin","She trades audiobooks only","B. It is a book-swap in an old phone box","easy","Lateral Puzzles","Take one, leave one, no keys required.","A converted phone box serves the village as an honor-system book swap.","published"
"92","A woman reads stories every week to children she will never meet in person.","She records storytime for prisoners' families","She reads to hospital wards","She hosts a radio bedtime hour","She narrates audiobooks for charity","A. She records storytime for prisoners' families","medium","Lateral Puzzles","The screen carries her voice where cars cannot.","Volunteers read aloud over video calls to the children of incarcerated parents.","published"
"93","A man photographs every front door in his town, and years later the archive cracks a case.","He is cataloguing architecture","His door archive helped prove an alibi","He works for the estate agents","He repairs doors and audits them","B. His door archive helped prove an alibi","hard","Lateral Puzzles","One doorstep photo placed the suspect miles away.","His complete door archive showed a suspect's story could not be true.","published"
"94","A man's restaurant has no menu, and diners eat happily whatever he serves.","It is a tasting-counter test kitchen","It cooks one fixed family recipe","It serves only the day's catch","It serves whatever the garden yields","C. It serves only the day's catch","medium","Lateral Puzzles","The boats decide the menu at dawn.","The fisherman's daily catch is the entire menu, and there is no choosing.","published"
"95","A man has danced at four thousand weddings without knowing a single guest.","He is the hired dancer who starts every floor","He plays in the house band","He films first dances","He is the venue manager","A. He is the hired dancer who starts every floor","medium","Lateral Puzzles","Someone has to be the first on the floor.","Professional party starters get weddings dancing while guests find their nerve.","published"
"96","A man knows every window downtown, and his toolbox is a bucket and a squeegee.","He is a window cleaner","He is a glazier","He is a window fitter","He is a curtain fitter","A. He is a window cleaner","easy","Lateral Puzzles","Six floors up, streak-free, every week.","The downtown window cleaner works every pane in the district with bucket and blade.","published"
"97","A man's garage holds four hundred bicycles, none of them his, and the whole street borrows them.","He is a scrap dealer","He repairs bikes for charity","He runs a free bike library","He resells refurbished bikes","C. He runs a free bike library","medium","Lateral Puzzles","Borrow a bike, bring it back, no papers.","His bike library lends bicycles to neighbors the way libraries lend books.","published"
"98","A man is the only soul who knows what lies in the sealed chamber under the clock tower, and he has never once looked.","He lost the key on purpose","The chamber is a structural void","He guards a time capsule not due to open","His predecessor sealed the plans inside","C. He guards a time capsule not due to open","hard","Lateral Puzzles","The founders' letters sleep until the centenary.","The time capsule custodian protects the sealed chamber until its opening date.","published"
"99","A woman is paid handsomely for two or three words at a time, and her words sell millions of paint cans.","She matches paint shades","She names paint colors","She tests paint textures","She writes paint slogans","B. She names paint colors","medium","Lateral Puzzles","Grandfather Clock Beige was probably her.","Professional color namers coin the evocative names that sell every tin.","published"
"100","What exactly does the hired wedding guest sell?","","","","","applause","expert","Lateral Puzzles","Enthusiasm, by the hour.","The professional claque member's product is convincing, timely applause.","published"
"101","Who runs the marathon without a number, wearing only a target time?","","","","","the pace setter","expert","Lateral Puzzles","Her finish time is someone else's goal.","The pace setter runs to schedule so others can meet their target.","published"
"102","What did the door photographer's archive ultimately prove in court?","","","","","an alibi","expert","Lateral Puzzles","One doorstep photo, one story broken.","His complete record of doors showed the suspect was miles from the scene.","published"
"103","What is the only thing on the menu at the menu-less restaurant?","","","","","the day's catch","expert","Lateral Puzzles","The boats wrote the menu at dawn.","Whatever the fishing boats deliver is the whole of tonight's menu.","published"
"104","What did the yarn-bombing woman knit for the bronze general in the square?","","","","","a knitted sweater","expert","Lateral Puzzles","Full uniform, wool issue.","The statue wears a complete knitted sweater, installed overnight.","published"
"105","A man is employed to care for exactly one tree, and he flies to it twice a year.","He manages a bonsai nursery","He is a forest ranger","He tends an ancient tree in a busy roundabout","He grafts orchard stock","C. He tends an ancient tree in a busy roundabout","medium","Lateral Puzzles","The tree was old before the road existed.","A famous ancient tree standing in a roundabout deserves its own personal caretaker.","published"
"106","A man waves at the morning train every day from his garden, and a carriage of strangers waves back.","His garden borders the railway, and it is the town's ritual","He is the retired station master","He signals for a level crossing","He runs a bed and breakfast for commuters","A. His garden borders the railway, and it is the town's ritual","easy","Lateral Puzzles","The tracks pass the end of his lawn.","His cottage backs onto the line, and the daily wave became a beloved ritual.","published"
