ID,Setup,Punchline,Category,Status
42,"Camping is intense. In tents.","","One-Liners","draft"
43,"My math teacher called me average. That is just mean.","","One-Liners","draft"
44,"I used to be a tap dancer until I fell in the sink.","","One-Liners","draft"
45,"I am so good at sleeping, I can do it with my eyes closed.","","One-Liners","draft"
46,"When I was a kid, my mother told me to follow my dreams. So I took a nap.","","One-Liners","draft"
47,"I do not trust stairs. They are always up to something.","","One-Liners","draft"
48,"I threw a boomerang a few years ago. I know it will come back to me eventually.","","One-Liners","draft"
49,"I hate Russian dolls. They are so full of themselves.","","One-Liners","draft"
50,"Light travels faster than sound, which is why some people seem bright until you hear them speak.","","One-Liners","draft"
51,"My therapist says I have a preoccupation with vengeance. We will see about that.","","One-Liners","draft"
52,"Someone stole my Microsoft Office and they are going to pay. You have my Word.","","One-Liners","draft"
53,"I invented a new word: plagiarism.","","One-Liners","draft"
54,"My wife accused me of being immature. So I told her to get out of my fort.","","One-Liners","draft"
55,"I just wrote a song about tortillas. Actually, it is more of a wrap.","","One-Liners","draft"
56,"I went to buy camouflage trousers the other day, but I could not find any.","","One-Liners","draft"
57,"Six out of seven dwarfs are not happy.","","One-Liners","draft"
58,"I broke my finger last week. On the other hand, I am okay.","","One-Liners","draft"
59,"I tried to sue the airline for losing my luggage. I lost my case.","","One-Liners","draft"
60,"My local psychic closed down due to unforeseen circumstances.","","One-Liners","draft"
61,"People say I am addicted to drinking brake fluid, but I can stop whenever I want.","","One-Liners","draft"
62,"When everything is coming your way, you are in the wrong lane.","","One-Liners","draft"
63,"Change is inevitable, except from a vending machine.","","One-Liners","draft"
64,"I have a few jokes about unemployed people, but none of them work.","","One-Liners","draft"
65,"My wife told me to take the spider out instead of killing it. We went out, had a few drinks, and it turns out he is a web designer.","","One-Liners","draft"
66,"I got hit on the head with a can of soda. Luckily it was a soft drink.","","One-Liners","draft"
67,"I am great at multitasking. I can waste time, be unproductive, and procrastinate all at once.","","One-Liners","draft"
68,"My dog used to chase people on a bike a lot. It got so bad I finally had to take his bike away.","","One-Liners","draft"
69,"I told my suitcases there would be no vacation this year. Now I am dealing with emotional baggage.","","One-Liners","draft"
70,"I have a joke about construction, but I am still working on it.","","One-Liners","draft"
71,"I have a joke about pizza, but it is a bit too cheesy.","","One-Liners","draft"
72,"My grandpa has the heart of a lion and a lifetime ban from the zoo.","","One-Liners","draft"
73,"My friend keeps saying, cheer up, it could be worse, you could be stuck underground in a hole full of water. I know, he means well.","","One-Liners","draft"
74,"I saw a documentary on how ships are kept together. Riveting.","","One-Liners","draft"
75,"It is hard to explain puns to kleptomaniacs because they always take things literally.","","One-Liners","draft"
76,"I would avoid the sushi if I were you. It is a little fishy.","","One-Liners","draft"
77,"People are making apocalypse jokes like there is no tomorrow.","","One-Liners","draft"
78,"I tried to organize a hide and seek tournament, but good players are hard to find.","","One-Liners","draft"
79,"The other day I ordered a chicken and an egg online. I will let you know.","","One-Liners","draft"
80,"My friend asked me what rhymes with orange. I said, no it does not.","","One-Liners","draft"
81,"If at first you do not succeed, then skydiving is not for you.","","One-Liners","draft"
82,"I own the world's worst thesaurus. Not only is it terrible, it is also terrible.","","One-Liners","draft"
83,"You do not need a parachute to go skydiving. You need a parachute to go skydiving twice.","","One-Liners","draft"
84,"I used to think the brain was the most important organ. Then I thought, look who is telling me that.","","One-Liners","draft"
85,"My friend said onions are the only food that can make you cry. So I threw a coconut at his face.","","One-Liners","draft"
86,"My wife left a note on the fridge that said, this is not working. I am not sure what she means. The fridge is working fine.","","One-Liners","draft"
87,"My grandfather always said to fight fire with fire. He was a terrible firefighter.","","One-Liners","draft"
88,"I signed up for a juggling class, but I dropped it.","","One-Liners","draft"
89,"My wife said I should do lunges to stay in shape. That would be a big step forward.","","One-Liners","draft"
90,"I got a reversible jacket for Christmas. I am excited to see how it turns out.","","One-Liners","draft"
91,"I asked my dog what is two minus two. He said nothing.","","One-Liners","draft"
92,"I used to be a professional fisherman, but I could not net enough income.","","One-Liners","draft"
93,"I entered ten puns in a pun contest hoping one would win, but no pun in ten did.","","One-Liners","draft"
94,"I tried to catch fog yesterday. Mist.","","One-Liners","draft"
95,"A termite walked into a bar and asked if the bar tender was here.","","One-Liners","draft"
96,"I was going to look for my missing watch, but I could never find the time.","","One-Liners","draft"
97,"Five out of four people admit they are bad at fractions.","","One-Liners","draft"
98,"Yesterday a clown held the door open for me. It was such a nice jester.","","One-Liners","draft"
99,"I have a stepladder now. My real ladder left when I was a kid.","","One-Liners","draft"
100,"It is not whether you win or lose, it is how you place the blame.","","One-Liners","draft"
