ID,Setup,Punchline,Category,Status
59,Where do baseball players get their new uniforms?,New Jersey.,Sports Jokes,draft
60,What did the bowling pins do when the ball came down the lane?,They split.,Sports Jokes,draft
61,Why do tennis players make bad boxers?,They keep getting caught in the net.,Sports Jokes,draft
62,Why cannot you play basketball with pigs?,They always hog the ball.,Sports Jokes,draft
63,Where do football players go to dance?,The foot-ball.,Sports Jokes,draft
64,What did the coach say when the player asked why practice is so long?,Because the other team is practicing right now.,Sports Jokes,draft
65,Why did the bench player cheer so loudly?,He knew all the words from sitting so close.,Sports Jokes,draft
66,What did the soccer player say when he could not find the field?,This is my worst kickoff ever.,Sports Jokes,draft
67,Why did the rookie carry two water bottles?,The veteran told him hydration is a two bottle job.,Sports Jokes,draft
68,What did the marathon runner say at the halfway point?,"See you in an hour, friend.",Sports Jokes,draft
69,Why did the swimmer set three alarms?,Practice does not forgive sleeping in.,Sports Jokes,draft
70,What did the goalie say after the team scored on their own net?,"New plan, we stop the ball now.",Sports Jokes,draft
71,Why did the coach make the team run laps?,Because the laps were not going to run themselves.,Sports Jokes,draft
72,What did the bowler say after the gutter ball?,That lane and I need to have a talk.,Sports Jokes,draft
73,What did the young golfer say after his first lesson?,Apparently swinging harder is not the technique.,Sports Jokes,draft
74,Why did the referee bring a stopwatch to dinner?,Old habits call everything on time.,Sports Jokes,draft
75,Why did the team watch game film at dinner?,Coach said chewing and learning are compatible.,Sports Jokes,draft
76,What did the relay runner say when he dropped the baton?,Let us never speak of the handoff again.,Sports Jokes,draft
77,Why did the swimmer count his laps twice?,"The first count said he could stop, so he trusted the second.",Sports Jokes,draft
78,What did the coach say when the player asked if effort counts?,"It counts in practice, points count in games.",Sports Jokes,draft
79,Why did the batter study the pitcher before the game?,He liked to know what was coming... even when it is a fastball.,Sports Jokes,draft
80,What did the soccer coach say at halftime?,"The scoreboard is not final, and neither is our effort.",Sports Jokes,draft
81,Why did the rookie tie his shoes with double knots?,He learned that lesson the hard way during tryouts.,Sports Jokes,draft
82,What did the outfielder say about the sunny day?,"Great weather, terrible fly ball visibility.",Sports Jokes,draft
83,Why did the team bus driver get a thank you card?,He drove them to every victory and every loss without complaint.,Sports Jokes,draft
84,What did the gymnast say after sticking the landing?,Months of falling down finally paid off.,Sports Jokes,draft
85,Why did the coach love early practices?,Because the other coach loved sleeping in.,Sports Jokes,draft
86,What did the runner say when his watch died mid run?,I guess today I run by feel.,Sports Jokes,draft
87,Why did the swimmer love flip turns?,It is the only time swimming lets you somersault on the job.,Sports Jokes,draft
88,What did the soccer player say about grass stains?,They are proof that he committed to the slide tackle.,Sports Jokes,draft
89,Why did the basketball captain call a huddle?,Everyone was running five different plays.,Sports Jokes,draft
90,What did the quarterback say at the line of scrimmage?,Something very calm while ninety thousand people screamed.,Sports Jokes,draft
91,Why did the hockey goalie paint his mask?,"If you have to face slapshots all night, look good doing it.",Sports Jokes,draft
92,What did the bowler say about his spare?,"It was not pretty, but it counted.",Sports Jokes,draft
93,Why did the tennis player love deuce?,"It meant nobody had won yet, including him.",Sports Jokes,draft
94,What did the catcher say about low pitches?,Every one of them kept him humble and muddy.,Sports Jokes,draft
95,Why did the coach smile at the scoreboard?,It finally matched the effort from practice.,Sports Jokes,draft
96,What did the marathon runner say about his medal?,"It was heavy, but not as heavy as mile twenty.",Sports Jokes,draft
97,Why did the team take the long way home after the win?,The victory was too good to rush.,Sports Jokes,draft
98,What did the coach say when the season ended?,"Same time next year, and bring better sneakers.",Sports Jokes,draft
99,Why did the player keep his first jersey?,"Everyone starts somewhere, and that somewhere deserves a frame.",Sports Jokes,draft
100,What did the player say when the coach asked who wants to win?,"Everybody does, coach. That is why we keep showing up.",Sports Jokes,draft
