ID,Setup,Punchline,Category,Status
55,"What did the teacher write in every yearbook?","Keep counting on yourself.","Math & School Jokes","draft"
56,"What is a math teacher favorite kind of music?","Algo-rhythms.","Math & School Jokes","draft"
57,"What did the math teacher say when the class aced the test?","You can really count on yourselves.","Math & School Jokes","draft"
58,"Why was the dictionary so relaxed?","It had all the words it needed.","Math & School Jokes","draft"
59,"What did the thesaurus have for breakfast?","A synonym roll.","Math & School Jokes","draft"
60,"Why was the globe so well rounded?","It had been all around the world.","Math & School Jokes","draft"
61,"Why did the history teacher never panic?","He had seen it all before.","Math & School Jokes","draft"
62,"Why did the geography teacher feel grounded?","The subject kept her down to earth.","Math & School Jokes","draft"
63,"Why was the art teacher so drawn to teaching?","It was in her nature.","Math & School Jokes","draft"
64,"Why was the music teacher so composed?","She never lost her tempo.","Math & School Jokes","draft"
65,"Why did the PE teacher feel great?","He was always jumping for joy.","Math & School Jokes","draft"
66,"Why was the math student top of the class?","He could always count on himself.","Math & School Jokes","draft"
67,"Why did the math teacher love jokes?","They always added up.","Math & School Jokes","draft"
68,"What did the math teacher say after a great lesson?","That was sum lesson.","Math & School Jokes","draft"
69,"Why was the geometry class so sharp?","It was full of acute students.","Math & School Jokes","draft"
70,"Why did the student keep looking for x?","It was always hiding in the equation.","Math & School Jokes","draft"
71,"Why was the percentage so honest?","It always gave a hundred percent.","Math & School Jokes","draft"
72,"Why was the statistic so mean?","Because it was just the average.","Math & School Jokes","draft"
73,"Why was the mode so popular?","It showed up the most.","Math & School Jokes","draft"
74,"Why was the median always centered?","It never took sides.","Math & School Jokes","draft"
75,"Why was the graph so optimistic?","Its lines kept going up.","Math & School Jokes","draft"
76,"Why was the right angle never wrong?","It was always right.","Math & School Jokes","draft"
77,"Why was the circle so well rounded?","It had no edges to sharpen.","Math & School Jokes","draft"
78,"Why was the number line so patient?","It knew there was always more to come.","Math & School Jokes","draft"
79,"Why did the kids love recess?","It was the highlight of their day.","Math & School Jokes","draft"
80,"Why was the letter Y so conflicted?","It could not decide if it was a vowel or a consonant.","Math & School Jokes","draft"
81,"Why was the book so easygoing?","It knew how to turn the page.","Math & School Jokes","draft"
82,"Why did the pencil love cursive class?","It finally learned to let loose.","Math & School Jokes","draft"
83,"Why was the school play so emotional?","There was a lot of acting out.","Math & School Jokes","draft"
84,"Why did the history class do so well?","They learned from the past.","Math & School Jokes","draft"
85,"Why was the geography student never lost?","He always knew where he stood on the map.","Math & School Jokes","draft"
86,"Why did the Spanish student love the siesta lesson?","It was the most restful class of the day.","Math & School Jokes","draft"
87,"Why was the janitor considered the smartest person in school?","He swept through every class.","Math & School Jokes","draft"
88,"Why did the paperback need a jacket?","Because it was a little dusty.","Math & School Jokes","draft"
89,"Why was the student so good at geometry?","He knew all the angles.","Math & School Jokes","draft"
90,"Why did the music student love fractions?","He understood whole notes and half notes.","Math & School Jokes","draft"
91,"Why did the banker love his job?","He found it very interesting.","Math & School Jokes","draft"
92,"Why did the pencil cross the road?","It wanted to draw its own path.","Math & School Jokes","draft"
93,"Why was the gold star sticker so proud?","It was stuck on the best test in class.","Math & School Jokes","draft"
94,"Why did the student love music math problems?","He could really count on the beat.","Math & School Jokes","draft"
95,"Why was the geography teacher bad at hide and seek?","Because she was always on the map.","Math & School Jokes","draft"
96,"Why did the student do homework at the library?","Because silence is golden.","Math & School Jokes","draft"
97,"Why was the math riddle never lonely?","It always had a problem for company.","Math & School Jokes","draft"
98,"Why did the student give the teacher an apple?","He wanted to be the core of attention.","Math & School Jokes","draft"
99,"Why did the school year feel short?","Time flies when you are having class.","Math & School Jokes","draft"
100,"Why was the math class always so upbeat?","It knew how to stay positive.","Math & School Jokes","draft"
