ID,Setup,Punchline,Category,Status
36,"Why did the man run around his bed?","Because he wanted to catch up on his sleep.","Classic Dad Jokes","draft"
37,"What is brown and sticky?","A stick.","Classic Dad Jokes","draft"
38,"What is red and smells like blue paint?","Red paint.","Classic Dad Jokes","draft"
39,"What is green and has wheels?","Grass, I lied about the wheels.","Classic Dad Jokes","draft"
40,"What do you call a knight who is afraid to fight?","Sir Render.","Classic Dad Jokes","draft"
41,"Why could the pirate not learn the alphabet?","Because he was lost at C.","Classic Dad Jokes","draft"
42,"What is a pirate favorite letter?","You might think it is R, but it is the C.","Classic Dad Jokes","draft"
43,"Why did the chicken cross the playground?","To get to the other slide.","Classic Dad Jokes","draft"
44,"Why did the man get fired from the orange juice factory?","He could not concentrate.","Classic Dad Jokes","draft"
45,"How do you make a Kleenex dance?","Put a little boogie in it.","Classic Dad Jokes","draft"
46,"What do you call a magician who lost his magic?","Ian.","Classic Dad Jokes","draft"
47,"What do you call a train that carries bubble gum?","A chew chew train.","Classic Dad Jokes","draft"
48,"Have you read the book about anti-gravity?","It is impossible to put down.","Classic Dad Jokes","draft"
49,"What did the paper say to the pencil?","Write on!","Classic Dad Jokes","draft"
50,"Why did the pine tree get in trouble?","Because it was being knotty.","Classic Dad Jokes","draft"
51,"Why did the man put wheels on his rocking chair?","He wanted to rock and roll.","Classic Dad Jokes","draft"
52,"What did the big flower say to the little flower?","Hey bud!","Classic Dad Jokes","draft"
53,"Why did the man bring a ladder to the bar?","Because he heard the drinks were on the house.","Classic Dad Jokes","draft"
54,"What did the buffalo say when his son left for college?","Bison.","Classic Dad Jokes","draft"
55,"Why can you not give Elsa a balloon?","Because she will let it go.","Classic Dad Jokes","draft"
56,"What did the house wear to the party?","An address.","Classic Dad Jokes","draft"
57,"Why did the man take his clock to the vet?","Because it had ticks.","Classic Dad Jokes","draft"
58,"Why did the coffee taste like dirt?","Because it was ground this morning.","Classic Dad Jokes","draft"
59,"What do you call a fake stone in Ireland?","A sham rock.","Classic Dad Jokes","draft"
60,"What do you call a very small valentine?","A valen-tiny.","Classic Dad Jokes","draft"
61,"What did the big chimney say to the little chimney?","You are too young to smoke.","Classic Dad Jokes","draft"
62,"Why did the gardener plant a light bulb?","He wanted to grow a power plant.","Classic Dad Jokes","draft"
63,"Why did the tree go to the dentist?","It needed a root canal.","Classic Dad Jokes","draft"
64,"What do snowmen call their offspring?","Chill-dren.","Classic Dad Jokes","draft"
65,"Why did the man take a hammer to bed?","Because he wanted to hit the sack.","Classic Dad Jokes","draft"
66,"Why did the scissors win the award?","Because it was a cut above the rest.","Classic Dad Jokes","draft"
67,"Why did the bucket go to the doctor?","Because it was a little pail.","Classic Dad Jokes","draft"
68,"Why did the boy sleep with a ruler?","Because he wanted to measure how long he slept.","Classic Dad Jokes","draft"
69,"What is red and bad for your teeth?","A brick.","Classic Dad Jokes","draft"
70,"What is black and white and read all over?","A newspaper.","Classic Dad Jokes","draft"
71,"What is full of holes but still holds water?","A sponge.","Classic Dad Jokes","draft"
72,"What has hands but cannot clap?","A clock.","Classic Dad Jokes","draft"
73,"What has one eye but cannot see?","A needle.","Classic Dad Jokes","draft"
74,"What has many teeth but cannot bite?","A comb.","Classic Dad Jokes","draft"
75,"What has a neck but no head?","A bottle.","Classic Dad Jokes","draft"
76,"What gets wetter the more it dries?","A towel.","Classic Dad Jokes","draft"
77,"What goes up but never comes down?","Your age.","Classic Dad Jokes","draft"
78,"What can you catch but not throw?","A cold.","Classic Dad Jokes","draft"
79,"What can you break without touching it?","A promise.","Classic Dad Jokes","draft"
80,"What has four fingers and a thumb but is not alive?","A glove.","Classic Dad Jokes","draft"
81,"What gets bigger the more you take away?","A hole.","Classic Dad Jokes","draft"
82,"What is always in front of you but cannot be seen?","The future.","Classic Dad Jokes","draft"
83,"What is as light as a feather but no one can hold it for long?","Your breath.","Classic Dad Jokes","draft"
84,"What has cities but no houses and forests but no trees?","A map.","Classic Dad Jokes","draft"
85,"What is so fragile that saying its name breaks it?","Silence.","Classic Dad Jokes","draft"
86,"What can fill a room but takes up no space?","Light.","Classic Dad Jokes","draft"
87,"What is always coming but never arrives?","Tomorrow.","Classic Dad Jokes","draft"
88,"What can travel around the world while staying in a corner?","A stamp.","Classic Dad Jokes","draft"
89,"What room do ghosts avoid?","The living room.","Classic Dad Jokes","draft"
90,"What kind of band never plays music?","A rubber band.","Classic Dad Jokes","draft"
91,"What kind of tree fits in your hand?","A palm tree.","Classic Dad Jokes","draft"
92,"What do you call a snowman in July?","A puddle.","Classic Dad Jokes","draft"
93,"Why did the chewing gum cross the road?","Because it was stuck to the chicken foot.","Classic Dad Jokes","draft"
94,"Why did the man sit on his watch?","Because he wanted to be on time.","Classic Dad Jokes","draft"
95,"Why did the man put his radio in the fridge?","He wanted to listen to cool music.","Classic Dad Jokes","draft"
96,"Why did the man bring a pencil to bed?","Because he wanted to draw the curtains.","Classic Dad Jokes","draft"
97,"What did one shoe say to the other shoe?","You are my sole mate.","Classic Dad Jokes","draft"
98,"What has a bottom at the top?","A leg.","Classic Dad Jokes","draft"
99,"What has four wheels and flies?","A garbage truck.","Classic Dad Jokes","draft"
100,"Why did the man take his refrigerator to the party?","Because he heard it would be cool.","Classic Dad Jokes","draft"
