ID,Setup,Punchline,Category,Status
81,"Why was the window so open-minded?","It always let fresh ideas in.","Wordplay & Puns","draft"
82,"Why was the door so honest?","It was always open.","Wordplay & Puns","draft"
83,"Why was the roof so calm?","It was above it all.","Wordplay & Puns","draft"
84,"Why was the porch light so welcoming?","It never wanted anyone left out in the dark.","Wordplay & Puns","draft"
85,"Why did the hallway feel useful?","It always brought rooms together.","Wordplay & Puns","draft"
86,"Why was the staircase so ambitious?","It was always taking things to the next level.","Wordplay & Puns","draft"
87,"Why was the attic so nostalgic?","It kept everything from the past.","Wordplay & Puns","draft"
88,"Why was the garage door so dependable?","It never let anyone down.","Wordplay & Puns","draft"
89,"Why was the garden shed so shy?","It liked to keep things undercover.","Wordplay & Puns","draft"
90,"Why was the gate so indecisive?","It was always on the fence.","Wordplay & Puns","draft"
91,"Why was the swing so moody?","It had its ups and downs.","Wordplay & Puns","draft"
92,"Why was the seesaw never lonely?","There was always someone on the other side.","Wordplay & Puns","draft"
93,"Why was the sandbox so calm?","It took everything with a grain of sand.","Wordplay & Puns","draft"
94,"Why was the kite so upbeat?","It was always looking up.","Wordplay & Puns","draft"
95,"Why was the balloon so full of itself?","It was all hot air.","Wordplay & Puns","draft"
96,"Why was the bubble sad?","It burst into tears.","Wordplay & Puns","draft"
97,"Why was the last puzzle piece sad?","It felt like it did not fit in.","Wordplay & Puns","draft"
98,"Why were the dice such good friends?","They always rolled together.","Wordplay & Puns","draft"
99,"Why was the deck of cards always calm?","It could deal with anything.","Wordplay & Puns","draft"
100,"Why did the pun get promoted?","It always made the cut.","Wordplay & Puns","draft"
